,month_year,totalmemory,tool_name_version
3, 2021-05 ,  4359586751688.0000000,Add_a_column1/1.6                                                                    
4, 2021-05 ,  3996713461440.0000000,fastqc/0.72+galaxy1                                                                        
5, 2021-05 ,  2884239316308.0000000, Cut1                                                                                                                                   / Cut1                                                                                                                                   
6, 2021-05 ,  2536649233328.0000000,snpSift_extractFields/4.3+t.galaxy0                                                           
7, 2021-05 ,  2478024595144.0000000,snpSift_filter/4.3+t.galaxy1                                                                  
8, 2021-05 ,  1572686791424.0000000,tp_find_and_replace/1.1.3                                                       
9, 2021-05 ,  1347437133364.0000000, Filter1                                                                                                                                / Filter1                                                                                                                                
10, 2021-05 ,  1212646076040.0000000, ucsc_table_direct1                                                                                                                     / ucsc_table_direct1                                                                                                                     
11, 2021-05 ,  1202009448168.0000000,lofreq_call/2.1.5+galaxy0                                                                 
12, 2021-05 ,  1197718547716.0000000,bwa_mem/0.7.17.1                                                                              
13, 2021-05 ,  1071712796516.0000000,hisat2/2.1.0+galaxy7                                                                           
14, 2021-05 ,  1006514440968.0000000,featurecounts/2.0.1                                                                     
15, 2021-05 ,   950939611576.0000000,lofreq_viterbi/2.1.5+galaxy0                                                           
16, 2021-05 ,   882497011564.0000000,bcftools_consensus/1.10                                                            
17, 2021-05 ,   876345651300.0000000,lofreq_filter/2.1.5+galaxy0                                                             
18, 2021-05 ,   875978024964.0000000, CONVERTER_gz_to_uncompressed                                                                                                           / CONVERTER_gz_to_uncompressed                                                                                                           
19, 2021-05 ,   842016411264.0000000,gops_subtract_1/1.0.0                                                                    
20, 2021-05 ,   835423147580.0000000,tp_replace_in_line/1.1.2                                                        
21, 2021-05 ,   826003105060.0000000,bedtools_genomecoveragebed/2.29.2                                                            
22, 2021-05 ,   821527051912.0000000,datamash_ops/1.1.0                                                                       
23, 2021-05 ,   814955463000.0000000,gops_merge_1/1.0.0                                                                          
24, 2021-05 ,   805938343364.0000000,vcfvcfintersect/1.0.0_rc3+galaxy0                                                 
25, 2021-05 ,   776904581544.0000000,gops_concat_1/1.0.1                                                                        
26, 2021-05 ,   773356078084.0000000,trimmomatic/0.38.0                                                                   
27, 2021-05 ,   760440280936.0000000,replace_column_with_key_value_file/0.2                         
28, 2021-05 ,   719393229236.0000000,fastp/0.20.1+galaxy0                                                                            
29, 2021-05 ,   716287634356.0000000,fastq_dump/2.10.9+galaxy0                                                                   
30, 2021-05 ,   673021533128.0000000,snpeff_sars_cov_2/4.5covid19                                                        
31, 2021-05 ,   641498135000.0000000,ivar_trim/1.2.2+galaxy1                                                                     
32, 2021-05 ,   628428971632.0000000,samtools_stats/2.0.2+galaxy2                                                       
33, 2021-05 ,   603702396892.0000000,qualimap_bamqc/2.2.2d+galaxy3                                                          
34, 2021-05 ,   598047426676.0000000,lofreq_indelqual/2.1.5+galaxy0                                                       
35, 2021-05 ,   546541405060.0000000,lastz_wrapper_2/1.3.3                                                                       
36, 2021-05 ,   535136447748.0000000,trim_galore/0.6.3                                                                   
37, 2021-05 ,   523039282532.0000000,bowtie2/2.4.2+galaxy0                                                                     
38, 2021-05 ,   499791400696.0000000,cutadapt/1.16.6                                                                         
39, 2021-05 ,   481618185916.0000000,stringtie/2.1.1                                                                             
40, 2021-05 ,   428009047704.0000000, __SET_METADATA__                                                                                                                       / __SET_METADATA__                                                                                                                       
41, 2021-05 ,   410125511324.0000000,fastp/0.19.5+galaxy1                                                                            
42, 2021-05 ,   379781795400.0000000, __DATA_FETCH__                                                                                                                         / __DATA_FETCH__                                                                                                                         
43, 2021-05 ,   377653344824.0000000,ivar_removereads/1.2.2+galaxy1                                                       
44, 2021-05 ,   374416242984.0000000,deseq2/2.11.40.6+galaxy1                                                                       
45, 2021-05 ,   374165574440.0000000,samtools_view/1.9+galaxy2                                                               
46, 2021-05 ,   350527452336.0000000,rna_star/2.7.8a                                                                             
47, 2021-05 ,   336420431736.0000000,fasterq_dump/2.10.9+galaxy0                                                                 
48, 2021-05 ,   323852205684.0000000,htseq_count/0.9.1                                                                    
49, 2021-05 ,   313743593352.0000000,fastq_to_fasta_python/1.1.5                                                          
50, 2021-05 ,   298967537820.0000000,picard_MarkDuplicates/2.18.2.2                                                             
51, 2021-05 ,   266673168048.0000000,fasta_filter_by_length/1.2                                                 
52, 2021-05 ,   262618489728.0000000, join1                                                                                                                                  / join1                                                                                                                                  
53, 2021-05 ,   261382788744.0000000,multiqc/1.9+galaxy1                                                                           
54, 2021-05 ,   240049792584.0000000, Grep1                                                                                                                                  / Grep1                                                                                                                                  
55, 2021-05 ,   240044057520.0000000,deeptools_bam_coverage/3.3.2.0.0                                         
56, 2021-05 ,   234325990044.0000000,freebayes/1.3.1                                                                         
57, 2021-05 ,   222145734732.0000000,deeptools_compute_matrix/3.3.2.0.0                                     
58, 2021-05 ,   221201622600.0000000,samtool_filter2/1.8+galaxy1                                                       
59, 2021-05 ,   215960015880.0000000,cshl_fastx_collapser/1.0.1                                                        
60, 2021-05 ,   207362764056.0000000,macs2_callpeak/2.1.1.20160309.6                                                                 
61, 2021-05 ,   206391308340.0000000,fastq_groomer/1.1.5                                                                 
62, 2021-05 ,   201638671852.0000000,ncbi_blastn_wrapper/2.10.1+galaxy0                                                
63, 2021-05 ,   200907533904.0000000,deeptools_plot_heatmap/3.3.2.0.1                                         
64, 2021-05 ,   200715527208.0000000,vcffilter2/1.0.0_rc3+galaxy3                                                            
65, 2021-05 ,   192741828020.0000000,lofreq_call/2.1.5+galaxy1                                                                 
66, 2021-05 ,   187487262228.0000000, sra_source                                                                                                                             / sra_source                                                                                                                             
67, 2021-05 ,   180863777964.0000000,prokka/1.14.5+galaxy0                                                                         
68, 2021-05 ,   175647958164.0000000,tab2fasta/1.1.1                                                                  
69, 2021-05 ,   174605506908.0000000, cat1                                                                                                                                   / cat1                                                                                                                                   
70, 2021-05 ,   155054905320.0000000,deeptools_plot_profile/3.3.2.0.0                                         
71, 2021-05 ,   145457178048.0000000, Grouping1                                                                                                                              / Grouping1                                                                                                                              
72, 2021-05 ,   132960364404.0000000,tp_cut_tool/1.1.0                                                               
73, 2021-05 ,   129994126660.0000000,bwa/0.7.17.4                                                                                  
74, 2021-05 ,   129757365696.0000000, ebi_sra_main                                                                                                                           / ebi_sra_main                                                                                                                           
75, 2021-05 ,   129642997932.0000000,samtools_idxstats/2.0.3                                                         
76, 2021-05 ,   129378292512.0000000, sort1                                                                                                                                  / sort1                                                                                                                                  
77, 2021-05 ,   128170069440.0000000,ggplot2_heatmap2/3.0.1                                                               
78, 2021-05 ,   121960865544.0000000,ivar_consensus/1.2.2+galaxy0                                                           
79, 2021-05 ,   119563090584.0000000,snpEff/4.3+T.galaxy1                                                                           
80, 2021-05 ,   118450870860.0000000,fasta2tab/1.1.1                                                                  
81, 2021-05 ,   118234319112.0000000,qualimap_bamqc/2.2.2c                                                                  
82, 2021-05 ,   116698884456.0000000,fastq_join/1.1.2-806.1                                                                
83, 2021-05 ,   116604116160.0000000,rseqc_infer_experiment/2.6.4.1                                                               
84, 2021-05 ,   112427038248.0000000,gops_join_1/1.0.0                                                                            
85, 2021-05 ,   110444378600.0000000,spades/3.12.0+galaxy1                                                                          
86, 2021-05 ,   108922281152.0000000,tophat2/2.1.1                                                                             
87, 2021-05 ,   106379126112.0000000,bedtools_intersectbed/2.30.0                                                                 
88, 2021-05 ,   106062238256.0000000,salmon/1.3.0+galaxy1                                                                     
89, 2021-05 ,   103536982660.0000000,cufflinks/2.2.1.3                                                                       
90, 2021-05 ,    98824486908.0000000,picard_SamToFastq/2.18.2.2                                                                 
91, 2021-05 ,    98298781224.0000000,deg_annotate/1.1.0                                                                       
92, 2021-05 ,    93382228128.0000000,clustalw/2.1                                                                             
93, 2021-05 ,    92062567380.0000000,tp_sort_header_tool/1.1.1                                                       
94, 2021-05 ,    91779804480.0000000,samtools_flagstat/2.0.3                                                         
95, 2021-05 ,    91175539560.0000000,jvarkit_wgscoverageplotter/20201223+galaxy0                                
96, 2021-05 ,    90319686660.0000000,volcanoplot/0.0.3                                                                         
97, 2021-05 ,    88882566696.0000000,edger/3.24.1+galaxy1                                                                            
98, 2021-05 ,    86858004408.0000000,samtools_view/1.9+galaxy3                                                               
99, 2021-05 ,    85034247284.0000000,tp_easyjoin_tool/1.1.2                                                          
100, 2021-05 ,    84722004612.0000000,bcftools_mpileup/1.10                                                                
101, 2021-05 ,    83849175732.0000000,annotatemyids/3.12.0                                                                    
102, 2021-05 ,    79820885676.0000000,mothur_make_biom/1.39.5.0                                                            
103, 2021-05 ,    74586689268.0000000,bamFilter/2.4.1                                                                   
104, 2021-05 ,    74078274312.0000000, wig_to_bigWig                                                                                                                          / wig_to_bigWig                                                                                                                          
105, 2021-05 ,    73811252172.0000000, CONVERTER_fastq_to_fqtoc0                                                                                                              / CONVERTER_fastq_to_fqtoc0                                                                                                              
106, 2021-05 ,    73358240420.0000000,cuffdiff/2.2.1.6                                                                         
107, 2021-05 ,    71229962496.0000000,samtools_rmdup/2.0.1                                                               
108, 2021-05 ,    68291822592.0000000,tp_sed_tool/1.1.1                                                               
109, 2021-05 ,    68007515576.0000000,mothur_summary_seqs/1.39.5.0                                                      
110, 2021-05 ,    67760711468.0000000,samtools_sort/2.0.3                                                                 
111, 2021-05 ,    67418838648.0000000,busco/5.0.0+galaxy0                                                                             
112, 2021-05 ,    66191631324.0000000, comp1                                                                                                                                  / comp1                                                                                                                                  
113, 2021-05 ,    65209985960.0000000,mothur_make_contigs/1.39.5.1                                                      
114, 2021-05 ,    63609106596.0000000,tp_grep_tool/1.1.1                                                              
115, 2021-05 ,    63432687444.0000000,abricate/1.0.1                                                                               
116, 2021-05 ,    61913456472.0000000,picard_AddOrReplaceReadGroups/2.18.2.1                                                     
