,month_year,totalmemory,tool_name_version
3, 2020-01 ,  4682560777992.0000000,unicycler/0.4.8.0                                                                           
4, 2020-01 ,  4345103489696.0000000,rna_star/2.6.0b-1                                                                           
5, 2020-01 ,  2718883810716.0000000,fastqc/0.72+galaxy1                                                                        
6, 2020-01 ,  1486879617280.0000000,trinity_psc/0.0.1                                                                        
7, 2020-01 ,  1213196615984.0000000, CONVERTER_gz_to_uncompressed                                                                                                           / CONVERTER_gz_to_uncompressed                                                                                                           
8, 2020-01 ,  1152431335972.0000000,featurecounts/1.6.4+galaxy1                                                             
9, 2020-01 ,   855722775052.0000000,trimmomatic/0.38.0                                                                   
10, 2020-01 ,   811626940052.0000000,hisat2/2.1.0+galaxy5                                                                           
11, 2020-01 ,   691748787200.0000000, ebi_sra_main                                                                                                                           / ebi_sra_main                                                                                                                           
12, 2020-01 ,   584841137992.0000000,bowtie2/2.3.4.3+galaxy0                                                                   
13, 2020-01 ,   577072444876.0000000, __SET_METADATA__                                                                                                                       / __SET_METADATA__                                                                                                                       
14, 2020-01 ,   477672835360.0000000,bwa_mem/0.7.17.1                                                                              
15, 2020-01 ,   450533032744.0000000, Grep1                                                                                                                                  / Grep1                                                                                                                                  
16, 2020-01 ,   443415191016.0000000, Filter1                                                                                                                                / Filter1                                                                                                                                
17, 2020-01 ,   424302467340.0000000,fasta2tab/1.1.0                                                                  
18, 2020-01 ,   419820864712.0000000, ucsc_table_direct1                                                                                                                     / ucsc_table_direct1                                                                                                                     
19, 2020-01 ,   419293615128.0000000,fastq_groomer/1.1.1                                                                 
20, 2020-01 ,   404267060492.0000000,mothur_make_contigs/1.39.5.0                                                      
21, 2020-01 ,   394117544964.0000000, Cut1                                                                                                                                   / Cut1                                                                                                                                   
22, 2020-01 ,   378827366092.0000000,mothur_screen_seqs/1.39.5.0                                                        
23, 2020-01 ,   370523216892.0000000,htseq_count/0.9.1                                                                    
24, 2020-01 ,   368546038640.0000000,trim_galore/0.6.3                                                                   
25, 2020-01 ,   345114931520.0000000,deeptools_bam_coverage/3.3.0.0.0                                         
26, 2020-01 ,   325179927340.0000000,deseq2/2.11.40.6                                                                               
27, 2020-01 ,   314107729104.0000000,mothur_split_abund/1.39.5.0                                                        
28, 2020-01 ,   305712893204.0000000,stringtie/1.3.6                                                                             
29, 2020-01 ,   298817549768.0000000,cutadapt/1.16.6                                                                         
30, 2020-01 ,   294335945748.0000000,fastq_to_fasta_python/1.1.1                                                          
