,month_year,numusers,tool_name_version
3, 2020-01 ,     1515,fastqc/0.72+galaxy1                                                                        
4, 2020-01 ,      827, __SET_METADATA__                                                                                                                       / __SET_METADATA__                                                                                                                       
5, 2020-01 ,      758,bowtie2/2.3.4.3+galaxy0                                                                   
6, 2020-01 ,      715, ucsc_table_direct1                                                                                                                     / ucsc_table_direct1                                                                                                                     
7, 2020-01 ,      652,trimmomatic/0.38.0                                                                   
8, 2020-01 ,      623, CONVERTER_gz_to_uncompressed                                                                                                           / CONVERTER_gz_to_uncompressed                                                                                                           
9, 2020-01 ,      479,deseq2/2.11.40.6                                                                               
10, 2020-01 ,      457,hisat2/2.1.0+galaxy5                                                                           
11, 2020-01 ,      366,featurecounts/1.6.4+galaxy1                                                             
12, 2020-01 ,      357,gops_join_1/1.0.0                                                                            
13, 2020-01 ,      354, join1                                                                                                                                  / join1                                                                                                                                  
14, 2020-01 ,      353, Filter1                                                                                                                                / Filter1                                                                                                                                
15, 2020-01 ,      348,bwa_mem/0.7.17.1                                                                              
16, 2020-01 ,      346, Grouping1                                                                                                                              / Grouping1                                                                                                                              
17, 2020-01 ,      329,fastq_groomer/1.1.1                                                                 
18, 2020-01 ,      325,fasterq_dump/2.10.4                                                                         
19, 2020-01 ,      296, Cut1                                                                                                                                   / Cut1                                                                                                                                   
20, 2020-01 ,      283,fastq_dump/2.10.4                                                                           
21, 2020-01 ,      275,multiqc/1.7                                                                                   
22, 2020-01 ,      263, ebi_sra_main                                                                                                                           / ebi_sra_main                                                                                                                           
23, 2020-01 ,      257,macs2_callpeak/2.1.1.20160309.6                                                                 
24, 2020-01 ,      256,trim_galore/0.6.3                                                                   
25, 2020-01 ,      255, sort1                                                                                                                                  / sort1                                                                                                                                  
26, 2020-01 ,      253,freebayes/1.1.0.46-0                                                                    
27, 2020-01 ,      244,unicycler/0.4.8.0                                                                           
28, 2020-01 ,      244,htseq_count/0.9.1                                                                    
29, 2020-01 ,      241,deeptools_bam_coverage/3.3.0.0.0                                         
30, 2020-01 ,      231,rna_star/2.6.0b-1                                                                           
31, 2020-01 ,      219,tp_cut_tool/1.1.0                                                               
32, 2020-01 ,      202,tophat2/2.1.1                                                                             
33, 2020-01 ,      195, CONVERTER_bam_to_bigwig_0                                                                                                              / CONVERTER_bam_to_bigwig_0                                                                                                              
34, 2020-01 ,      186,bwa/0.7.17.4                                                                                  
35, 2020-01 ,      184,stringtie/1.3.6                                                                             
36, 2020-01 ,      181,bowtie_wrapper/1.2.0                                                              
37, 2020-01 ,      181,cufflinks/2.2.1.2                                                                       
38, 2020-01 ,      179,edger/3.24.1+galaxy1                                                                            
39, 2020-01 ,      173,picard_MarkDuplicates/2.18.2.2                                                             
40, 2020-01 ,      172,samtools_flagstat/2.0.3                                                         
41, 2020-01 ,      149, CONVERTER_interval_to_bed_0                                                                                                            / CONVERTER_interval_to_bed_0                                                                                                            
42, 2020-01 ,      145,samtool_filter2/1.8+galaxy1                                                       
43, 2020-01 ,      144, CONVERTER_bam_to_coodinate_sorted_bam                                                                                                  / CONVERTER_bam_to_coodinate_sorted_bam                                                                                                  
44, 2020-01 ,      137,cutadapt/1.16.6                                                                         
45, 2020-01 ,      136, CONVERTER_fastq_to_fqtoc0                                                                                                              / CONVERTER_fastq_to_fqtoc0                                                                                                              
46, 2020-01 ,      135,bam_to_sam/2.0.1                                                                       
47, 2020-01 ,      134, CONVERTER_interval_to_bedstrict_0                                                                                                      / CONVERTER_interval_to_bedstrict_0                                                                                                      
48, 2020-01 ,      133,bamFilter/2.4.1                                                                   
49, 2020-01 ,      131,trinity_psc/0.0.1                                                                        
50, 2020-01 ,      130,tp_head_tool/1.1.0                                                              
51, 2020-01 ,      125,tp_cat/0.1.0                                                                    
52, 2020-01 ,      125,peakcalling_macs/1.0.1                                                                       
53, 2020-01 ,      125,cuffdiff/2.2.1.5                                                                         
54, 2020-01 ,      124,prokka/1.13                                                                                   
55, 2020-01 ,      124,bwa_wrapper/1.2.3                                                                    
56, 2020-01 ,      123,fastp/0.19.5+galaxy1                                                                            
57, 2020-01 ,      121,fastq_stats/1.1.1                                                                     
58, 2020-01 ,      121,cshl_fastq_quality_filter/1.0.2                                              
59, 2020-01 ,      120,tp_sort_header_tool/1.1.1                                                       
60, 2020-01 ,      119,snpEff/4.3+T.galaxy1                                                                           
61, 2020-01 ,      115,deeptools_compute_matrix/3.3.0.0.0                                     
62, 2020-01 ,      112, cat1                                                                                                                                   / cat1                                                                                                                                   
63, 2020-01 ,      109,gops_intersect_1/1.0.0                                                                  
64, 2020-01 ,      108,fastq_to_fasta_python/1.1.1                                                          
65, 2020-01 ,      106, CONVERTER_fasta_to_tabular                                                                                                             / CONVERTER_fasta_to_tabular                                                                                                             
66, 2020-01 ,      104,bedtools_intersectbed/2.29.0                                                                 
67, 2020-01 ,       98,charts/1.0.1                                                                                   
68, 2020-01 ,       97,sra_pileup/2.10.3                                                                           
69, 2020-01 ,       97,annotatemyids/3.7.0+galaxy1                                                             
70, 2020-01 ,       96,deeptools_plot_heatmap/3.3.0.0.1                                         
71, 2020-01 ,       95,vcffilter2/1.0.0_rc1+galaxy3                                                            
72, 2020-01 ,       95,Add_a_column1/1.2.0                                                                  
73, 2020-01 ,       95,cuffmerge/2.2.1.1                                                                       
74, 2020-01 ,       94, CONVERTER_bed_gff_or_vcf_to_bigwig_0                                                                                                   / CONVERTER_bed_gff_or_vcf_to_bigwig_0                                                                                                   
75, 2020-01 ,       94, wig_to_bigWig                                                                                                                          / wig_to_bigWig                                                                                                                          
76, 2020-01 ,       94,samtools_rmdup/2.0.1                                                               
77, 2020-01 ,       93, comp1                                                                                                                                  / comp1                                                                                                                                  
78, 2020-01 ,       93,tab2fasta/1.1.0                                                                  
79, 2020-01 ,       92,kraken/1.3.0                                                                               
80, 2020-01 ,       92,quast/5.0.2+galaxy0                                                                             
81, 2020-01 ,       92,samtools_sort/2.0.3                                                                 
82, 2020-01 ,       92, __EXPORT_HISTORY__                                                                                                                     / __EXPORT_HISTORY__                                                                                                                     
83, 2020-01 ,       91,sam_to_bam/2.1.1                                                                       
84, 2020-01 ,       91,fasta2tab/1.1.0                                                                  
85, 2020-01 ,       90,ggplot2_heatmap2/3.0.1                                                               
86, 2020-01 ,       90,table_annovar/0.2                                                                   
87, 2020-01 ,       89,collection_column_join/0.0.3                                                   
88, 2020-01 ,       82,limma_voom/3.38.3+galaxy3                                                                  
89, 2020-01 ,       82, CONVERTER_vcf_bgzip_to_tabix_0                                                                                                         / CONVERTER_vcf_bgzip_to_tabix_0                                                                                                         
90, 2020-01 ,       81,samtools_stats/2.0.2+galaxy2                                                       
91, 2020-01 ,       81,samtools_mpileup/2.1.4                                                           
92, 2020-01 ,       81, CONVERTER_vcf_to_vcf_bgzip_0                                                                                                           / CONVERTER_vcf_to_vcf_bgzip_0                                                                                                           
93, 2020-01 ,       81, Convert characters1                                                                                                                    / Convert characters1                                                                                                                    
94, 2020-01 ,       80, tabular_to_csv                                                                                                                         / tabular_to_csv                                                                                                                         
95, 2020-01 ,       79,stringtie_merge/1.3.6                                                                       
96, 2020-01 ,       79, Show beginning1                                                                                                                        / Show beginning1                                                                                                                        
97, 2020-01 ,       76,picard_MergeSamFiles/2.18.2.1                                                              
