,total_cpu_time_seconds,num_jobs,tool_name_version
2021-08,73525160,5143,bowtie2/2.4.2+galaxy0
2021-08,36194022,4858,hisat2/2.1.0+galaxy7
2021-08,23836112,487,unicycler/0.4.8.0
2021-08,21411404,758,freebayes/1.3.1
2021-08,20877128,766,tophat2/2.1.1
2021-08,16967634,1034,rna_star/2.7.8a
2021-08,16526970,2455,bwa_mem/0.7.17.2
2021-08,12598962,1672,hisat2/2.2.1+galaxy0
2021-08,11144909,2479,htseq_count/0.9.1
2021-08,10975088,917,bwa/0.7.17.4
2021-08,9281518,1788,fasterq_dump/2.11.0+galaxy0
2021-08,9063692,817,cufflinks/2.2.1.3
2021-08,8981036,1486,rbc_mafft/7.221.3
2021-08,8308632,5996,trimmomatic/0.38.0
2021-08,6933038,3767,fastq_dump/2.11.0+galaxy0
2021-08,6745910,183,megahit/1.1.3.5
2021-08,5649404,2387,trim_galore/0.6.3
2021-08,5258149,74,vsearch_search/1.9.7.0
2021-08,5123890,2076,deeptools_bam_coverage/3.3.2.0.0
2021-08,5048942,119,roary/3.13.0+galaxy1
2021-08,4778445,22,trinity/2.9.1+galaxy1
2021-08,4724262,33,ncbi_blastx_wrapper/2.10.1+galaxy0
2021-08,4428099,24891,fastqc/0.72+galaxy1
2021-08,4264989,168,cuffdiff/2.2.1.6
2021-08,4263091,2576,prokka/1.14.5+galaxy0
2021-08,3562228,1943,fastq_groomer/1.1.5
2021-08,3546686,307,bowtie2/2.3.4.3+galaxy0
2021-08,3101390,2067,deeptools_compute_matrix/3.3.2.0.0
2021-08,3052588,1152,bwa_mem/0.7.17.1
2021-08,3018468,218,deeptools_bigwig_compare/3.3.2.0.0
2021-08,2946980,2035,deseq2/2.11.40.6+galaxy1
2021-08,2720071,131,tophat2/0.9
2021-08,2710448,297,rna_star/2.7.8a+galaxy0
2021-08,2540774,402,fastq_paired_end_deinterlacer/1.1.5
2021-08,2162991,342,ncbi_blastp_wrapper/2.10.1+galaxy0
2021-08,2040556,103357,upload1/upload1
2021-08,1961389,342,spades/3.12.0+galaxy1
2021-08,1901569,1890,macs2_callpeak/2.1.1.20160309.6
2021-08,1865434,725,lofreq_call/2.1.5+galaxy0
2021-08,1821048,127,rseqc_geneBody_coverage/2.6.4.3
2021-08,1790587,308,minimap2/2.20+galaxy1
2021-08,1784402,41,rnaspades/3.9.0.2
2021-08,1766789,44,gmx_sim/2020.2+galaxy0
2021-08,1473972,4321,stringtie/2.1.1
2021-08,1445335,4368,cutadapt/3.4+galaxy0
2021-08,1404410,46,flye/2.6
2021-08,1390797,269,busco/5.0.0+galaxy0
2021-08,1357738,155,velvetoptimiser/2.2.6
2021-08,1304249,14,hyphy_absrel/2.5.31+galaxy1
2021-08,1290453,591,salmon/1.5.1+galaxy0
2021-08,1268014,108,bwameth/0.2.2
2021-08,1209271,4033,fastp/0.19.5+galaxy1
2021-08,1067084,26,maxquant/1.6.10.43+galaxy3
2021-08,1031684,10,hyphy_meme/2.5.31+galaxy2
2021-08,947048,41,bowtie2/2.3.4.2
2021-08,890101,296,sam_dump/2.11.0+galaxy0
2021-08,887583,1423,picard_MarkDuplicates/2.18.2.2
2021-08,765087,5064,featurecounts/2.0.1
2021-08,742731,97,egsea/1.10.0
2021-08,692868,42,mimodd_varcall/0.1.9
2021-08,690132,33,trinity_align_and_estimate_abundance/2.9.1+galaxy1
2021-08,689788,548,samtools_rmdup/2.0.1
2021-08,675946,1,slamdunk/0.4.1+galaxy2
2021-08,658431,2818,ncbi_blastn_wrapper/2.10.1+galaxy0
2021-08,630714,548,shovill/1.1.0+galaxy0
2021-08,618301,123,dexseq_count/1.28.1.0
2021-08,595337,28,iqtree/2.1.2+galaxy1
2021-08,542229,275,fastq_trimmer/1.1.5
2021-08,528201,62233,seqtk_subseq/1.3.1
2021-08,507523,161,deeptools_bam_compare/3.3.2.0.0
2021-08,504620,574,snippy/4.5.0
2021-08,501571,107,iqtree/1.5.5.3
2021-08,499537,87,deeptools_multi_bam_summary/3.3.2.0.0
2021-08,493354,196,augustus/3.4.0+galaxy0
2021-08,481020,115,bg_diamond/2.0.8.0
2021-08,455529,377,kallisto_quant/0.46.0.4
2021-08,446731,151,samtools_mpileup/2.1.4
2021-08,437392,76,bwameth/0.2.2+galaxy1
2021-08,426049,407,bcftools_mpileup/1.10
2021-08,424911,9,plant_tribes_gene_family_classifier/1.0.3.0
2021-08,416538,187,fastq_paired_end_joiner/2.0.1.1+galaxy0
2021-08,414345,114,samtools_bedcov/2.0.2
2021-08,389903,1309,fastq_quality_trimmer/1.1.5
2021-08,387230,20,deeptools_plot_fingerprint/2.5.0.0
2021-08,375089,458,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
