,month_year,total_cpu_time,tool_name_version
0,2021-08,73525160,bowtie2/2.4.2+galaxy0
1,2021-08,36194022,hisat2/2.1.0+galaxy7
2,2021-08,23836112,unicycler/0.4.8.0
3,2021-08,21411404,freebayes/1.3.1
4,2021-08,20877128,tophat2/2.1.1
5,2021-08,16967634,rna_star/2.7.8a
6,2021-08,16526970,bwa_mem/0.7.17.2
7,2021-08,12598962,hisat2/2.2.1+galaxy0
8,2021-08,11144909,htseq_count/0.9.1
9,2021-08,10975088,bwa/0.7.17.4
10,2021-08,9281518,fasterq_dump/2.11.0+galaxy0
11,2021-08,9063692,cufflinks/2.2.1.3
12,2021-08,8981036,rbc_mafft/7.221.3
13,2021-08,8308632,trimmomatic/0.38.0
14,2021-08,6933038,fastq_dump/2.11.0+galaxy0
15,2021-08,6745910,megahit/1.1.3.5
16,2021-08,5649404,trim_galore/0.6.3
17,2021-08,5258149,vsearch_search/1.9.7.0
18,2021-08,5123890,deeptools_bam_coverage/3.3.2.0.0
19,2021-08,5048942,roary/3.13.0+galaxy1
20,2021-08,4778445,trinity/2.9.1+galaxy1
21,2021-08,4724262,ncbi_blastx_wrapper/2.10.1+galaxy0
22,2021-08,4428099,fastqc/0.72+galaxy1
23,2021-08,4264989,cuffdiff/2.2.1.6
24,2021-08,4263091,prokka/1.14.5+galaxy0
25,2021-08,3562228,fastq_groomer/1.1.5
26,2021-08,3546686,bowtie2/2.3.4.3+galaxy0
27,2021-08,3101390,deeptools_compute_matrix/3.3.2.0.0
28,2021-08,3052588,bwa_mem/0.7.17.1
29,2021-08,3018468,deeptools_bigwig_compare/3.3.2.0.0
30,2021-08,2946980,deseq2/2.11.40.6+galaxy1
31,2021-08,2720071,tophat2/0.9
32,2021-08,2710448,rna_star/2.7.8a+galaxy0
33,2021-08,2540774,fastq_paired_end_deinterlacer/1.1.5
34,2021-08,2162991,ncbi_blastp_wrapper/2.10.1+galaxy0
35,2021-08,2040556,upload1/upload1
36,2021-08,1961389,spades/3.12.0+galaxy1
37,2021-08,1901569,macs2_callpeak/2.1.1.20160309.6
38,2021-08,1865434,lofreq_call/2.1.5+galaxy0
39,2021-08,1821048,rseqc_geneBody_coverage/2.6.4.3
40,2021-08,1790587,minimap2/2.20+galaxy1
41,2021-08,1784402,rnaspades/3.9.0.2
42,2021-08,1766789,gmx_sim/2020.2+galaxy0
43,2021-08,1473972,stringtie/2.1.1
44,2021-08,1445335,cutadapt/3.4+galaxy0
45,2021-08,1404410,flye/2.6
46,2021-08,1390797,busco/5.0.0+galaxy0
47,2021-08,1357738,velvetoptimiser/2.2.6
48,2021-08,1304249,hyphy_absrel/2.5.31+galaxy1
49,2021-08,1290453,salmon/1.5.1+galaxy0
50,2021-08,1268014,bwameth/0.2.2
51,2021-08,1209271,fastp/0.19.5+galaxy1
52,2021-08,1067084,maxquant/1.6.10.43+galaxy3
53,2021-08,1031684,hyphy_meme/2.5.31+galaxy2
54,2021-08,947048,bowtie2/2.3.4.2
55,2021-08,890101,sam_dump/2.11.0+galaxy0
56,2021-08,887583,picard_MarkDuplicates/2.18.2.2
57,2021-08,765087,featurecounts/2.0.1
58,2021-08,742731,egsea/1.10.0
59,2021-08,692868,mimodd_varcall/0.1.9
60,2021-08,690132,trinity_align_and_estimate_abundance/2.9.1+galaxy1
61,2021-08,689788,samtools_rmdup/2.0.1
62,2021-08,675946,slamdunk/0.4.1+galaxy2
63,2021-08,658431,ncbi_blastn_wrapper/2.10.1+galaxy0
64,2021-08,630714,shovill/1.1.0+galaxy0
65,2021-08,618301,dexseq_count/1.28.1.0
66,2021-08,595337,iqtree/2.1.2+galaxy1
67,2021-08,542229,fastq_trimmer/1.1.5
68,2021-08,528201,seqtk_subseq/1.3.1
69,2021-08,507523,deeptools_bam_compare/3.3.2.0.0
70,2021-08,504620,snippy/4.5.0
71,2021-08,501571,iqtree/1.5.5.3
72,2021-08,499537,deeptools_multi_bam_summary/3.3.2.0.0
73,2021-08,493354,augustus/3.4.0+galaxy0
74,2021-08,481020,bg_diamond/2.0.8.0
75,2021-08,455529,kallisto_quant/0.46.0.4
76,2021-08,446731,samtools_mpileup/2.1.4
77,2021-08,437392,bwameth/0.2.2+galaxy1
78,2021-08,426049,bcftools_mpileup/1.10
79,2021-08,424911,plant_tribes_gene_family_classifier/1.0.3.0
80,2021-08,416538,fastq_paired_end_joiner/2.0.1.1+galaxy0
81,2021-08,414345,samtools_bedcov/2.0.2
82,2021-08,389903,fastq_quality_trimmer/1.1.5
83,2021-08,387230,deeptools_plot_fingerprint/2.5.0.0
84,2021-08,375089,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
85,2021-08,371232,maker/2.31.11
86,2021-08,370134,metaspades/3.9.0
87,2021-08,369901,deeptools_multi_bigwig_summary/3.3.2.0.0
88,2021-08,361692,kallisto_quant/0.46.2+galaxy0
89,2021-08,360136,naive_variant_caller/0.0.4
90,2021-08,356543,meme_chip/4.11.2+galaxy1
91,2021-08,352560,deeptools_plot_fingerprint/3.3.2.0.0
92,2021-08,347060,bamFilter/2.4.1
93,2021-08,342964,fastp/0.20.1+galaxy0
94,2021-08,333493,lofreq_call/2.1.5+galaxy1
95,2021-08,319804,picard_MergeSamFiles/2.18.2.1
96,2021-08,308471,clustalw/2.1
97,2021-08,308000,minimap2/2.20+galaxy2
98,2021-08,298195,mothur_classify_seqs/1.39.5.0
99,2021-08,286602,__DATA_FETCH__/__DATA_FETCH__
100,2021-08,279754,hisat2/2.1.0+galaxy5
101,2021-08,278954,fastq_stats/1.1.5
102,2021-08,275646,fastqe/0.2.6+galaxy1
103,2021-08,272697,fastq_filter/1.1.5
104,2021-08,264810,__EXPORT_HISTORY__/__EXPORT_HISTORY__
105,2021-08,263654,freebayes/1.1.0.46-0
106,2021-08,252173,join1/join1
107,2021-08,251910,rna_starsolo/2.7.8a
108,2021-08,241831,dada2_dada/1.18+galaxy0
109,2021-08,237338,samtools_fastx/1.9+galaxy1
110,2021-08,233282,mothur_pre_cluster/1.39.5.0
111,2021-08,221965,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
112,2021-08,218417,fastq_paired_end_interlacer/1.2.0.1+galaxy0
113,2021-08,204856,cuffmerge/0.0.5
114,2021-08,203972,deeptools_bam_coverage/3.1.2.0.0
115,2021-08,203747,cutadapt/1.16.6
116,2021-08,193529,snippy/4.6.0+galaxy0
117,2021-08,187883,ucsc_table_direct1/ucsc_table_direct1
118,2021-08,187752,MAF_To_Fasta1/MAF_To_Fasta1
119,2021-08,186372,CONVERTER_bam_to_qname_sorted_bam/CONVERTER_bam_to_qname_sorted_bam
120,2021-08,177352,cshl_fastq_quality_filter/1.0.2+galaxy0
121,2021-08,177184,samtools_sort/2.0.3
122,2021-08,173184,lofreq_viterbi/2.1.5+galaxy0
123,2021-08,168936,porechop/0.2.4
124,2021-08,166733,mothur_cluster_split/1.39.5.0
125,2021-08,163367,microsatellite/1.0.0
126,2021-08,161519,snpEff/4.3+T.galaxy1
127,2021-08,155779,featurecounts/2.0.1+galaxy1
128,2021-08,154315,dexseq/1.28.1+galaxy1
129,2021-08,154282,bamleftalign/1.3.1
130,2021-08,151707,mothur_make_contigs/1.39.5.1
131,2021-08,150675,__SET_METADATA__/__SET_METADATA__
132,2021-08,148005,samtool_filter2/1.8+galaxy1
133,2021-08,147365,dada2_learnErrors/1.18+galaxy0
134,2021-08,146734,chipseeker/1.18.0+galaxy1
135,2021-08,144460,mothur_align_seqs/1.39.5.0
136,2021-08,142399,mothur_pcr_seqs/1.39.5.0
137,2021-08,142106,fastq_groomer/1.1.1
138,2021-08,140401,CONVERTER_bam_to_bigwig_0/CONVERTER_bam_to_bigwig_0
139,2021-08,137728,fasterq_dump/2.10.9+galaxy0
140,2021-08,133426,circos/0.69.8+galaxy7
141,2021-08,132020,deeptools_bam_coverage/3.3.0.0.0
142,2021-08,131088,rseqc_read_distribution/2.6.4.1
143,2021-08,127929,ngsutils_bam_filter/0.5.9
144,2021-08,126958,qualimap_bamqc/2.2.2c
145,2021-08,124548,egsea/1.20.0
146,2021-08,124364,diffbind/2.10.0
147,2021-08,123020,samtools_view/1.9+galaxy3
148,2021-08,117209,edger/3.24.1+galaxy1
149,2021-08,111769,fasttree/2.1.10+galaxy1
150,2021-08,110562,ivar_removereads/1.3.1+galaxy0
151,2021-08,109057,gops_join_1/1.0.0
152,2021-08,108648,hyphy_fel/2.5.31+galaxy1
153,2021-08,107093,hyphy_bgm/2.5.31+galaxy2
154,2021-08,105570,bowtie2/2.3.4.3
155,2021-08,105111,varscan_somatic/2.4.3.6
156,2021-08,104852,repeatmasker_wrapper/4.0.9
157,2021-08,98780,vsearch_chimera_detection/1.9.7.0
158,2021-08,97534,fastq_manipulation/1.1.5
159,2021-08,92285,fastq_paired_end_splitter/1.1.5
160,2021-08,91189,CONVERTER_bed_gff_or_vcf_to_bigwig_0/CONVERTER_bed_gff_or_vcf_to_bigwig_0
161,2021-08,89822,deg_annotate/1.1.0
162,2021-08,87993,deseq2/2.11.40.6+galaxy2
163,2021-08,87238,cshl_fastx_trimmer/1.0.2+galaxy0
164,2021-08,85870,samtools_merge/1.9
165,2021-08,85008,disco/1.2.0
166,2021-08,84806,picard_SortSam/2.18.2.1
167,2021-08,82482,bwa/0.7.12.1
168,2021-08,81177,hisat2/2.1.0+galaxy3
169,2021-08,80712,deeptools_plot_heatmap/3.3.2.0.1
170,2021-08,80089,gd_raxml/1.0.0
171,2021-08,79941,CONVERTER_interval_to_bed_0/CONVERTER_interval_to_bed_0
172,2021-08,75836,charts/1.0.1
173,2021-08,74244,fastq_to_fasta_python/1.1.5
174,2021-08,72750,dada2_assignTaxonomyAddspecies/1.18+galaxy0
175,2021-08,72135,bedtools_genomecoveragebed/2.30.0
176,2021-08,71875,fastqe/0.2.6+galaxy2
177,2021-08,71872,dada2_filterAndTrim/1.18+galaxy0
178,2021-08,71170,ivar_trim/1.3.1+galaxy0
179,2021-08,70963,sailfish/0.10.1.1
180,2021-08,70585,abricate/1.0.1
181,2021-08,68206,varscan/2.4.2
182,2021-08,67811,picard_ValidateSamFile/2.18.2.1
183,2021-08,67594,iqtree/2.1.2+galaxy0
184,2021-08,67245,pipelign/0.2+galaxy0
185,2021-08,66835,samtools_stats/2.0.2+galaxy2
186,2021-08,64843,rseqc_bam2wig/2.6.4
187,2021-08,61551,bam_to_sam/2.0.1
188,2021-08,60255,bcftools_call/1.10
189,2021-08,59824,bamtools/2.4.0.0
190,2021-08,59601,mothur_chimera_vsearch/1.39.5.2
191,2021-08,58147,megablast_wrapper/1.2.0
192,2021-08,58011,feelnc/0.2
193,2021-08,56748,deeptools_compute_matrix/3.1.2.0.0
194,2021-08,55735,mothur_dist_seqs/1.39.5.0
195,2021-08,55572,wig_to_bigWig/wig_to_bigWig
196,2021-08,55257,vcffilter2/1.0.0_rc3+galaxy3
197,2021-08,53925,vegan_rarefaction/2.4-3
198,2021-08,53697,bioext_bealign/0.20.1+galaxy0
199,2021-08,53513,tb_profiler_profile/2.8.14+galaxy1
200,2021-08,53506,flash/1.2.11.4
201,2021-08,52218,pathview/1.24.0+galaxy0
202,2021-08,50208,cshl_fastx_quality_statistics/1.0.1
203,2021-08,49112,fasta_merge_files_and_filter_unique_sequences/1.2.0
204,2021-08,49085,bedtools_bamtobed/2.30.0+galaxy1
205,2021-08,48765,deeptools_plot_coverage/3.3.2.0.0
206,2021-08,47099,transdecoder/5.5.0+galaxy1
207,2021-08,46889,trinotate/3.2.1
208,2021-08,46506,maxbin2/2.2.7+galaxy2
209,2021-08,46208,samtools_calmd/2.0.2
210,2021-08,46100,CONVERTER_cram_to_bam_0/CONVERTER_cram_to_bam_0
211,2021-08,45906,dada2_mergePairs/1.18+galaxy0
212,2021-08,45763,lastz_wrapper_2/1.3.3
213,2021-08,44748,CONVERTER_sam_to_bigwig_0/CONVERTER_sam_to_bigwig_0
214,2021-08,44119,trim_galore/0.4.3.1
215,2021-08,43693,edger/3.34.0
216,2021-08,43682,varscan_mpileup/2.4.3.1
217,2021-08,43272,cutadapt/1.16.5
218,2021-08,42159,picard_AddOrReplaceReadGroups/2.18.2.1
219,2021-08,41758,bedtools_multicovtbed/2.30.0
220,2021-08,41259,lofreq_indelqual/2.1.5+galaxy0
221,2021-08,41244,CONVERTER_interval_to_bedstrict_0/CONVERTER_interval_to_bedstrict_0
222,2021-08,40861,qualimap_rnaseq/2.2.2d+galaxy1
223,2021-08,40645,fastq_join/1.1.2-806.1
224,2021-08,40544,qualimap_bamqc/2.2.2d+galaxy3
225,2021-08,40353,sam_pileup/1.1.3
226,2021-08,40220,nextclade/1.2.3+galaxy0
227,2021-08,40078,plant_tribes_kaks_analysis/1.0.3.0
228,2021-08,39336,Filter1/Filter1
229,2021-08,38951,bedtools_unionbedgraph/2.30.0
230,2021-08,38282,fasta_filter_by_length/1.2
231,2021-08,36731,ggplot2_heatmap2/3.0.1
232,2021-08,36533,comp1/comp1
233,2021-08,36070,cshl_fastx_collapser/1.0.1
234,2021-08,35752,ebi_sra_main/ebi_sra_main
235,2021-08,35676,bwa_mem/0.7.15.1
236,2021-08,35381,__EXPORT_HISTORY_TO_URI__/__EXPORT_HISTORY_TO_URI__
237,2021-08,35036,goseq/1.44.0+galaxy0
238,2021-08,34417,tp_grep_tool/1.1.1
239,2021-08,33148,cshl_fastq_to_fasta/1.0.2
240,2021-08,32368,limma_voom/3.48.0
241,2021-08,31065,quast/5.0.2+galaxy1
242,2021-08,30864,gatk4_mutect2/4.1.7.0+galaxy0
243,2021-08,30609,bcftools_plugin_counts/1.10+galaxy1
244,2021-08,30436,sam_to_bam/2.1.1
245,2021-08,29819,tp_find_and_replace/1.1.3
246,2021-08,29602,volcanoplot/0.0.5
247,2021-08,29454,bedtools_bedtobam/2.30.0
248,2021-08,29263,sickle/1.33.2
249,2021-08,28507,mimodd_varextract/0.1.9
250,2021-08,28458,Cut1/Cut1
251,2021-08,28128,bowtie2/2.3.2.2
252,2021-08,27062,cshl_fastx_clipper/1.0.3+galaxy0
253,2021-08,26756,snippy_core/4.5.0
254,2021-08,26743,bcftools_norm/1.10
255,2021-08,26407,sra_source/sra_source
256,2021-08,25663,multigps/0.74.0
257,2021-08,25545,Count1/Count1
258,2021-08,25545,Grep1/Grep1
259,2021-08,24958,bamSplit/2.4.0
260,2021-08,24931,dada2_assignTaxonomyAddspecies/1.20+galaxy0
261,2021-08,24624,multiqc/1.9+galaxy1
262,2021-08,24428,samtools_view/1.9+galaxy2
263,2021-08,23764,kraken2/2.1.1+galaxy1
