date,tool_id,num_jobs
2021-07,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,65
2021-07,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,65
2021-07,__DATA_FETCH__,60
2021-07,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,52
2021-07,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4,40
2021-07,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,32
2021-07,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.11.0+galaxy0,22
2021-07,polyester,14
2021-07,CONVERTER_gz_to_uncompressed,14
2021-07,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.8a+galaxy0,9
2021-07,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,9
2021-07,upload1,8
2021-07,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,6
2021-07,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.5.1+galaxy0,6
2021-07,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,6
2021-07,toolshed.g2.bx.psu.edu/repos/jjohnson/rsem/rsem_calculate_expression/1.1.17,5
2021-07,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.1.0,5
2021-07,toolshed.g2.bx.psu.edu/repos/jjohnson/rsem/rsem_prepare_reference/1.1.17,5
2021-07,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.2+galaxy0,3
2021-07,random_lines1,3
2021-07,CONVERTER_fasta_to_tabular,3
2021-07,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.72+galaxy1,3
2021-07,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump/2.11.0+galaxy0,2
2021-07,Show beginning1,2
2021-07,CONVERTER_bam_to_bigwig_0,1
2021-07,Show tail1,1
2021-07,__SET_METADATA__,1
2021-08,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,47
2021-08,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,44
2021-08,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,35
2021-08,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7,28
2021-08,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.0.4,20
2021-08,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,19
2021-08,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.3.0+galaxy1,19
2021-08,__DATA_FETCH__,13
2021-08,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.11.0+galaxy0,8
2021-08,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4,7
2021-08,upload1,7
2021-08,CONVERTER_gz_to_uncompressed,7
2021-08,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.2+galaxy0,5
2021-08,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.5.1+galaxy0,4
2021-08,polyester,1
2021-08,CONVERTER_fasta_to_tabular,1
2021-08,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_tail_tool/1.1.0,1
