,totalmemory,num_jobs,tool_name_version
1,211554386127924.0,1726628.0,upload1/upload1
2,63323312754348.0,523152.0,fastqc/0.72+galaxy1
3,17263017285996.0,141240.0,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
4,17032059988816.0,141054.0,param_value_from_file/param_value_from_file
5,16092652698416.0,122290.0,fasterq_dump/2.10.7+galaxy0
6,14957334340372.0,135598.0,trimmomatic/0.38.0
7,14429113328628.0,119926.0,ucsc_table_direct1/ucsc_table_direct1
8,14261314940484.0,139100.0,bwa_mem/0.7.17.1
9,12182978960880.0,98511.0,fastp/0.20.1+galaxy0
10,11023211537476.0,129823.0,bowtie2/2.3.4.3+galaxy0
11,10918095563780.0,100022.0,lastz_wrapper_2/1.3.2
12,10816404581136.0,89980.0,Filter1/Filter1
13,9909873396924.0,4805.0,unicycler/0.4.8.0
14,9520547006556.0,77647.0,__SET_METADATA__/__SET_METADATA__
15,9488277506476.0,80793.0,picard_MarkDuplicates/2.18.2.2
16,9481348541404.0,118923.0,hisat2/2.1.0+galaxy5
17,9387298503356.0,5267.0,rna_star/2.6.0b-1
18,8166922462656.0,78755.0,samtool_filter2/1.8+galaxy1
19,8153845747896.0,67214.0,Cut1/Cut1
20,7981309340372.0,80539.0,samtools_stats/2.0.2+galaxy2
21,7944645757836.0,3448.0,spades/3.12.0+galaxy1
22,7641581692796.0,62247.0,hhsearch/0.1.0
23,7585777125764.0,59367.0,htseq_count/0.9.1
24,7514551655928.0,62321.0,snpSift_extractFields/4.3+t.galaxy0
25,7419139576344.0,57796.0,featurecounts/1.6.4+galaxy1
26,7226719486948.0,56847.0,ebi_sra_main/ebi_sra_main
27,7126432949472.0,55175.0,lofreq_call/2.1.5+galaxy0
28,6985272381324.0,55194.0,lofreq_viterbi/2.1.5+galaxy0
29,6591276918944.0,2085.0,trinity_psc/0.0.1
30,6541035925932.0,57257.0,cutadapt/1.16.6
31,5991673311280.0,49104.0,abricate/1.0.1
32,5695738234288.0,47102.0,cshl_fastx_trimmer/1.0.2+galaxy0
33,5670475334552.0,46974.0,trim_galore/0.6.3
34,5577816808792.0,52311.0,lofreq_indelqual/2.1.5+galaxy0
35,5358096885128.0,44147.0,fastq_groomer/1.1.5
36,5296623373784.0,41405.0,join1/join1
37,4957836203448.0,49723.0,featurecounts/1.6.4+galaxy2
38,4917289793652.0,50582.0,stringtie/2.1.1
39,4759976466792.0,41933.0,deseq2/2.11.40.6+galaxy1
40,4759532688224.0,40297.0,Add_a_column1/1.6
41,4606748719104.0,37110.0,Grouping1/Grouping1
42,4291396499084.0,35065.0,macs2_callpeak/2.1.1.20160309.6
43,4179831001400.0,39410.0,deeptools_bam_coverage/3.3.2.0.0
44,4128566133628.0,32828.0,snpEff/4.3+T.galaxy1
45,3977238991788.0,47278.0,lofreq_filter/2.1.5+galaxy0
46,3976649191804.0,32151.0,bedtools_intersectbed/2.29.0
47,3879825496884.0,31645.0,tp_cut_tool/1.1.0
48,3793437902432.0,30544.0,vcffilter2/1.0.0_rc3+galaxy3
49,3714322131492.0,30970.0,Grep1/Grep1
50,3676570643152.0,30284.0,cat1/cat1
51,3631368675212.0,30909.0,fastq_dump/2.10.8+galaxy0
52,3605288820312.0,40235.0,hisat2/2.1.0+galaxy7
53,3595325204784.0,39340.0,featurecounts/2.0.1
54,3545870187088.0,28968.0,deeptools_plot_heatmap/3.3.2.0.1
55,3487946965816.0,33043.0,snpeff_sars_cov_2/4.5covid19
56,3454459003948.0,27450.0,bamFilter/2.4.1
57,3329344229828.0,30454.0,freebayes/1.3.1
58,3299467843172.0,31374.0,deeptools_compute_matrix/3.3.2.0.0
59,3259784701828.0,26161.0,CONVERTER_vcf_to_vcf_bgzip_0/CONVERTER_vcf_to_vcf_bgzip_0
60,3256583012144.0,27584.0,snpSift_filter/4.3+t.galaxy1
61,3155287719468.0,25550.0,gops_join_1/1.0.0
62,2851664912992.0,21991.0,mothur_unique_seqs/1.39.5.0
63,2833405645196.0,23141.0,tp_find_and_replace/1.1.3
64,2816389633264.0,23242.0,sort1/sort1
65,2810661676536.0,23253.0,fastq_to_fasta_python/1.1.5
66,2723426232140.0,21757.0,rbc_mafft/7.221.3
67,2689560768876.0,3773.0,rna_star/2.7.2b
68,2640408445472.0,21482.0,tp_sed_tool/1.1.1
69,2629110531976.0,23145.0,fastq_dump/2.10.9+galaxy0
70,2585623582904.0,21874.0,sra_source/sra_source
71,2558313489944.0,23279.0,fastp/0.19.5+galaxy1
72,2268727965024.0,17817.0,prokka/1.14.5
73,2117524247548.0,955.0,trinity/2.9.1
74,2062574841748.0,16546.0,samtools_flagstat/2.0.3
75,2053196899444.0,16425.0,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
76,2039927850704.0,20578.0,prokka/1.14.5+galaxy0
77,2022720235868.0,24843.0,tophat2/2.1.1
78,2006029523080.0,16489.0,edger/3.24.1+galaxy1
79,1993918688924.0,25045.0,bwa/0.7.17.4
80,1986290155804.0,15244.0,picard_NormalizeFasta/2.18.2.1
81,1933629461056.0,15534.0,samtools_rmdup/2.0.1
82,1923194843068.0,15609.0,bamtools/2.4.0.0
83,1921027292496.0,15048.0,fasta2tab/1.1.0
84,1841075738540.0,14173.0,filter_by_fasta_ids/2.3
85,1786568927080.0,14054.0,ggplot2_heatmap2/3.0.1
86,1727072371776.0,13213.0,fastq_dump/2.10.4+galaxy1
87,1700149841340.0,13867.0,datamash_ops/1.1.0
88,1676986794892.0,13679.0,CONVERTER_interval_to_bed_0/CONVERTER_interval_to_bed_0
89,1664662171208.0,14489.0,replace_column_with_key_value_file/0.2
90,1648700496672.0,13209.0,samtools_idxstats/2.0.3
91,1601916676040.0,13088.0,deeptools_plot_profile/3.3.2.0.0
92,1600330775584.0,12908.0,csv_to_tabular/csv_to_tabular
93,1589294548360.0,12891.0,gops_intersect_1/1.0.0
94,1556082703040.0,13123.0,bcftools_consensus/1.10
95,1551251693892.0,12393.0,picard_AddOrReplaceReadGroups/2.18.2.1
96,1507458634652.0,11496.0,fasterq_dump/2.10.4+galaxy2
97,1504896086212.0,11993.0,tp_sort_header_tool/1.1.1
98,1412232463012.0,10714.0,wig_to_bigWig/wig_to_bigWig
99,1392019787448.0,14111.0,tp_replace_in_line/1.1.2
100,1354003366908.0,12136.0,samtools_sort/2.0.3
101,1351646446224.0,14281.0,vcfvcfintersect/1.0.0_rc3+galaxy0
102,1336632608084.0,11475.0,gops_subtract_1/1.0.0
103,1307223744448.0,11528.0,mothur_summary_seqs/1.39.5.0
104,1305157165060.0,12932.0,samtools_view/1.9+galaxy2
105,1303010710600.0,10749.0,volcanoplot/0.0.3
106,1291958885392.0,9958.0,EMBOSS: matcher52/5.0.0.1
107,1286436523172.0,11052.0,clustalw/2.1
108,1278360357988.0,10427.0,tp_cat/0.1.0
109,1276460189084.0,10533.0,cshl_fastq_quality_filter/1.0.2+galaxy0
110,1271238625960.0,11890.0,fasterq_dump/2.10.8+galaxy0
111,1269456324512.0,9831.0,fastq_groomer/1.1.1
112,1258476052596.0,10326.0,limma_voom/3.38.3+galaxy3
113,1252880850464.0,10157.0,comp1/comp1
114,1249014593308.0,11351.0,fastqc/0.69
115,1236583552024.0,9396.0,mothur_make_fastq/1.39.5.0
116,1232018753668.0,16686.0,rna_star/2.7.5b
117,1210391404440.0,10528.0,gops_merge_1/1.0.0
118,1208157436720.0,10057.0,mothur_screen_seqs/1.39.5.0
119,1203349407924.0,9308.0,Add_a_column1/1.2.0
120,1193641911100.0,13780.0,bowtie2/2.4.2+galaxy0
121,1191506821952.0,9900.0,rseqc_infer_experiment/2.6.4.1
122,1181556881228.0,9790.0,fastq_join/1.1.2-806.1
123,1180933836256.0,9197.0,tab2fasta/1.1.0
124,1175233119960.0,10614.0,cshl_fastx_collapser/1.0.1
125,1160976758044.0,9886.0,kraken/1.3.1
126,1159655408620.0,9518.0,multiqc/1.8+galaxy1
127,1149470106864.0,9453.0,CONVERTER_bam_to_bigwig_0/CONVERTER_bam_to_bigwig_0
128,1146272850236.0,9158.0,mothur_make_contigs/1.39.5.0
129,1142966264768.0,9261.0,bam_to_sam/2.0.1
130,1140802326548.0,9286.0,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
131,1139001710176.0,9257.0,cshl_fastq_to_fasta/1.0.2
132,1118576329100.0,13256.0,cufflinks/2.2.1.3
133,1101731490912.0,9923.0,kallisto_quant/0.46.0.4
134,1093787609920.0,8881.0,bedtools_getfastabed/2.29.0
135,1052309014480.0,8518.0,fastqc/0.72
136,1051840877800.0,8641.0,cshl_fastx_barcode_splitter/1.0.1
137,1035534686408.0,7883.0,lofreq_viterbi/2.1.3.1+galaxy1
138,1030923678480.0,8457.0,fastq_filter/1.1.5
139,1018243314764.0,10630.0,salmon/1.3.0+galaxy1
140,1001904239816.0,8052.0,table_annovar/0.2
141,1001267435728.0,7633.0,salmon/0.14.1.2
142,996330467940.0,8384.0,fasta2tab/1.1.1
143,995407924080.0,9111.0,gops_concat_1/1.0.1
144,984923811324.0,8062.0,samtools_mpileup/2.1.4
145,983789978212.0,8058.0,chipseeker/1.18.0+galaxy1
146,980437713460.0,10542.0,fasterq_dump/2.10.9+galaxy0
147,964289844476.0,8088.0,samtools_view/1.9+galaxy1
148,946974629188.0,9432.0,minimap2/2.17+galaxy2
149,940545353772.0,7677.0,Convert characters1/Convert characters1
150,935129482164.0,7606.0,snpSift_filter/4.3+t.galaxy0
151,930248285588.0,7401.0,tp_multijoin_tool/1.1.1
152,927728025916.0,8848.0,snippy/4.5.0
153,922749505328.0,7565.0,tabular_to_csv/tabular_to_csv
154,913664817076.0,7549.0,tp_easyjoin_tool/1.1.2
155,912400879408.0,7758.0,Remove beginning1/Remove beginning1
156,909740248656.0,8356.0,tab2fasta/1.1.1
157,903301697116.0,7521.0,tp_grep_tool/1.1.1
158,897851719612.0,7676.0,mothur_align_seqs/1.39.5.0
159,887435486544.0,7327.0,Add_a_column1/1.3.1
160,885503867764.0,8347.0,tp_find_and_replace/1.1.2
161,879916349356.0,6888.0,fastq_dump/2.10.7+galaxy2
162,878217248136.0,10473.0,cufflinks/2.2.1.2
163,877705028860.0,7550.0,fastq_quality_trimmer/1.1.5
164,859210942556.0,7017.0,bedtools_genomecoveragebed/2.29.0
165,855927519944.0,7180.0,CONVERTER_fasta_to_tabular/CONVERTER_fasta_to_tabular
166,852672032264.0,7232.0,fastq_combiner/1.1.5
167,850881620736.0,7177.0,mothur_taxonomy_to_krona/1.0
168,850556112628.0,6936.0,CONVERTER_interval_to_bedstrict_0/CONVERTER_interval_to_bedstrict_0
169,845204914404.0,7216.0,Count1/Count1
170,844816141656.0,6466.0,deeptools_bam_coverage/3.3.0.0.0
