,month_year,total_cpu_time,tool_name_version
1, 2020-01 , 1326123336348588786180.00000000000000,bwa_mem/0.7.17.1
2, 2020-01 , 1273465694562012747525.00000000000000,bowtie2/2.3.4.3+galaxy0
3, 2020-01 , 1189065089262009764243.00000000000000,tophat2/2.1.1
4, 2020-01 ,  781387379766319160889.00000000000000,deeptools_bam_coverage/3.3.0.0.0
5, 2020-01 ,  519401336025265011154.00000000000000,freebayes/1.1.0.46-0
6, 2020-01 ,  390437120070261813722.00000000000000,cuffdiff/2.2.1.5
7, 2020-01 ,  378450291598046001706.00000000000000,bwa_wrapper/1.2.3
8, 2020-01 ,  326451155146791304281.00000000000000,rna_star/2.6.0b-1
9, 2020-01 ,  299706260555018510756.00000000000000,bwa/0.7.17.4
10, 2020-01 ,  271988404598470282618.00000000000000,fastq_groomer/1.1.1
11, 2020-01 ,  190732383219975429883.00000000000000,hisat2/2.1.0+galaxy5
12, 2020-01 ,  159811394629137451169.00000000000000,trimmomatic/0.38.0
13, 2020-01 ,  148645972951993559323.00000000000000,htseq_count/0.9.1
14, 2020-01 ,  147445691309070767765.00000000000000,bowtie2/2.3.4.2
15, 2020-01 ,   98984727120829724253.00000000000000,fastq_dump/2.10.4
16, 2020-01 ,   88958238082444699374.00000000000000,trim_galore/0.6.3
17, 2020-01 ,   70206087451163800850.00000000000000,prokka/1.13
18, 2020-01 ,   69095358332824505540.00000000000000,cufflinks/2.2.1.2
19, 2020-01 ,   65326766616549114842.00000000000000,samtools_mpileup/2.1.4
20, 2020-01 ,   52477030063819992991.00000000000000,ncbi_blastx_wrapper/0.3.3
21, 2020-01 ,   46546218957978652656.00000000000000,align_families/2.14
22, 2020-01 ,   45040171810313477077.00000000000000,ncbi_blastn_wrapper/0.3.3
23, 2020-01 ,   42012070284413106389.00000000000000,cutadapt/1.16.6
24, 2020-01 ,   38955806773240365204.00000000000000,cuffquant/2.2.1.1
25, 2020-01 ,   38190997468249681605.00000000000000,clustalw/2.1
26, 2020-01 ,   37008289930190901073.00000000000000,__EXPORT_HISTORY__/__EXPORT_HISTORY__
27, 2020-01 ,   36535138525343841318.00000000000000,presto_maskprimers/0.5.4
28, 2020-01 ,   35028957505552795505.00000000000000,fasterq_dump/2.10.4
29, 2020-01 ,   28082734516281523951.00000000000000,mothur_classify_seqs/1.39.5.0
30, 2020-01 ,   27296864592939742331.00000000000000,deeptools_compute_matrix/3.3.0.0.0
31, 2020-01 ,   26415850139314197565.00000000000000,deeptools_bam_compare/3.3.0.0.0
32, 2020-01 ,   25801398223959559249.00000000000000,meme_meme/4.12.0.0
33, 2020-01 ,   25421489097946570664.00000000000000,mimodd_varcall/0.1.9
34, 2020-01 ,   22885751157331470917.00000000000000,rseqc_geneBody_coverage2/2.6.4.1
35, 2020-01 ,   22622384779756377852.00000000000000,fastq_groomer/1.0.4
36, 2020-01 ,   22109777550504972285.00000000000000,bowtie_wrapper/1.2.0
37, 2020-01 ,   21203732360724469336.00000000000000,snippy/4.4.5+galaxy0
38, 2020-01 ,   20497842663208071629.00000000000000,fastq_stats/1.1.1
