,num_jobs,num_users,tool_name_version
1,1781419.0,43409.0,upload1/upload1
2,559298.0,25459.0,fastqc/0.72+galaxy1
3,158469.0,7181.0,bwa_mem/0.7.17.1
4,156011.0,9846.0,bowtie2/2.3.4.3+galaxy0
5,155960.0,9858.0,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
6,154082.0,10260.0,trimmomatic/0.38.0
7,146054.0,6668.0,hisat2/2.1.0+galaxy5
8,141268.0,19.0,param_value_from_file/param_value_from_file
9,124399.0,8655.0,ucsc_table_direct1/ucsc_table_direct1
10,122410.0,138.0,fasterq_dump/2.10.7+galaxy0
11,113096.0,287.0,lastz_wrapper_2/1.3.2
12,106002.0,1383.0,fastp/0.20.1+galaxy0
13,98255.0,5527.0,Filter1/Filter1
14,85240.0,3555.0,picard_MarkDuplicates/2.18.2.2
15,84696.0,2062.0,samtools_stats/2.0.2+galaxy2
16,82432.0,11271.0,__SET_METADATA__/__SET_METADATA__
17,81097.0,2032.0,samtool_filter2/1.8+galaxy1
18,71600.0,3822.0,Cut1/Cut1
19,70148.0,3392.0,htseq_count/0.9.1
20,68152.0,2068.0,stringtie/2.1.1
21,66059.0,923.0,snpSift_extractFields/4.3+t.galaxy0
22,65356.0,2168.0,ebi_sra_main/ebi_sra_main
23,65111.0,4150.0,cutadapt/1.16.6
24,64175.0,2581.0,featurecounts/1.6.4+galaxy1
25,62274.0,8.0,hhsearch/0.1.0
26,59349.0,254.0,lofreq_call/2.1.5+galaxy0
27,58582.0,330.0,lofreq_viterbi/2.1.5+galaxy0
28,56011.0,3128.0,fastq_groomer/1.1.5
29,55114.0,355.0,lofreq_indelqual/2.1.5+galaxy0
30,53504.0,2677.0,featurecounts/1.6.4+galaxy2
31,52021.0,137.0,lofreq_filter/2.1.5+galaxy0
32,50652.0,3013.0,trim_galore/0.6.3
33,49661.0,264.0,abricate/1.0.1
34,48061.0,708.0,cshl_fastx_trimmer/1.0.2+galaxy0
35,47677.0,106.0,__UNZIP_COLLECTION__/__UNZIP_COLLECTION__
36,45904.0,7083.0,deseq2/2.11.40.6+galaxy1
37,45495.0,5698.0,join1/join1
38,45325.0,2625.0,hisat2/2.1.0+galaxy7
39,45122.0,2046.0,featurecounts/2.0.1
40,43487.0,1973.0,deeptools_bam_coverage/3.3.2.0.0
41,41141.0,6427.0,Grouping1/Grouping1
42,40694.0,2564.0,snpEff/4.3+T.galaxy1
43,40628.0,451.0,Add_a_column1/1.6
44,38449.0,3856.0,macs2_callpeak/2.1.1.20160309.6
45,37819.0,1385.0,rbc_mafft/7.221.3
46,37209.0,2302.0,vcffilter2/1.0.0_rc3+galaxy3
47,36480.0,4450.0,freebayes/1.3.1
48,35872.0,1224.0,deeptools_compute_matrix/3.3.2.0.0
49,34865.0,392.0,snpeff_sars_cov_2/4.5covid19
50,34788.0,1666.0,Grep1/Grep1
51,34268.0,4040.0,tp_cut_tool/1.1.0
52,34037.0,1175.0,bedtools_intersectbed/2.29.0
53,33938.0,3474.0,fastq_dump/2.10.8+galaxy0
54,33628.0,4019.0,tophat2/2.1.1
55,32924.0,1593.0,cat1/cat1
56,32137.0,1090.0,mothur_unique_seqs/1.39.5.0
57,31484.0,1055.0,deeptools_plot_heatmap/3.3.2.0.1
58,31361.0,3471.0,bwa/0.7.17.4
59,30375.0,2799.0,bamFilter/2.4.1
60,28787.0,275.0,snpSift_filter/4.3+t.galaxy1
61,28079.0,1903.0,CONVERTER_vcf_to_vcf_bgzip_0/CONVERTER_vcf_to_vcf_bgzip_0
62,27442.0,5980.0,gops_join_1/1.0.0
63,27127.0,4807.0,sort1/sort1
64,27014.0,1374.0,rna_star/2.7.5b
65,26916.0,1870.0,fastp/0.19.5+galaxy1
66,25531.0,2742.0,fastq_dump/2.10.9+galaxy0
67,25390.0,1187.0,fastq_to_fasta_python/1.1.5
68,24115.0,351.0,tp_sed_tool/1.1.1
69,24096.0,400.0,tp_find_and_replace/1.1.3
70,23188.0,2224.0,sra_source/sra_source
