,month_year,avg_memory,tool_name_version
0,2021-08,157,trinity/2.9.1+galaxy1
1,2021-08,44,rna_star/2.7.7a
2,2021-08,34,rna_star/2.7.8a+galaxy0
3,2021-08,32,bwa_mem/0.7.15.1
4,2021-08,32,hisat2/2.1.0
5,2021-08,30,slamdunk/0.4.1+galaxy2
6,2021-08,29,rna_star/2.7.8a
7,2021-08,26,deeptools_bam_compare/3.1.2.0.0
8,2021-08,24,hisat2/2.1.0+galaxy3
9,2021-08,22,fasterq_dump/2.10.9+galaxy0
10,2021-08,21,bwameth/0.2.2
11,2021-08,20,cuffnorm/2.2.1.3
12,2021-08,19,rnaspades/3.9.0.2
13,2021-08,19,rna_starsolo/2.7.8a
14,2021-08,18,trinity_align_and_estimate_abundance/2.9.1+galaxy1
15,2021-08,17,scpipe/1.0.0+galaxy2
16,2021-08,16,minimap2/2.20+galaxy2
17,2021-08,16,fasterq_dump/2.11.0+galaxy0
18,2021-08,15,bowtie2/2.3.2.2
19,2021-08,15,pipelign/0.2+galaxy0
20,2021-08,15,velvetoptimiser/2.2.6
21,2021-08,15,trimmomatic/0.36.6
22,2021-08,15,kallisto_quant/0.46.2+galaxy0
23,2021-08,14,bowtie2/2.3.4.3
24,2021-08,14,samtools_sort/2.0.3
25,2021-08,13,bowtie2/2.3.4.2
26,2021-08,13,hisat2/2.1.0+galaxy7
27,2021-08,13,tophat2/2.1.1
28,2021-08,13,tophat2/0.9
29,2021-08,12,wig_to_bigWig/wig_to_bigWig
30,2021-08,12,metaspades/3.9.0
31,2021-08,12,hisat2/2.2.1+galaxy0
32,2021-08,12,multigps/0.74.0
33,2021-08,11,hisat2/2.1.0+galaxy5
34,2021-08,11,medaka_variant_pipeline/1.3.2+galaxy0
35,2021-08,11,samtools_sort/2.0.1
36,2021-08,11,bwa_mem/0.7.12.1
37,2021-08,11,bwa_mem/0.1
38,2021-08,11,qualimap_bamqc/2.2.2c
39,2021-08,11,genrich/0.5+galaxy2
40,2021-08,11,dada2_assignTaxonomyAddspecies/1.20+galaxy0
41,2021-08,10,cuffdiff/2.2.1.6
42,2021-08,10,bowtie2/2.3.4.3+galaxy0
43,2021-08,10,bowtie2/2.4.2+galaxy0
44,2021-08,10,medaka_consensus_pipeline/1.3.2+galaxy0
45,2021-08,10,sailfish/0.10.1.1
46,2021-08,10,kallisto_pseudo/0.46.2+galaxy0
47,2021-08,9,kallisto_quant/0.46.0.4
48,2021-08,9,cuffquant/2.2.1.1
49,2021-08,9,qualimap_bamqc/2.2.2d+galaxy3
50,2021-08,9,salmon/0.14.1.2+galaxy1
51,2021-08,9,bwa/0.7.17.4
52,2021-08,9,egsea/1.20.0
53,2021-08,9,htseq_count/0.9.1
54,2021-08,9,cuffdiff/2.2.1.3
55,2021-08,8,peakcalling_sicer/1.1
56,2021-08,8,anndata_export/0.7.5+galaxy0
57,2021-08,8,mimodd_sort/0.1.9
58,2021-08,8,CONVERTER_cram_to_bam_0/CONVERTER_cram_to_bam_0
59,2021-08,8,flye/2.6
60,2021-08,8,salmon/0.14.1.2
61,2021-08,8,make_families/2.15
62,2021-08,8,CONVERTER_bedgraph_to_bigwig/CONVERTER_bedgraph_to_bigwig
63,2021-08,8,jbrowse/1.16.11+galaxy0
64,2021-08,8,tophat/1.5.0
65,2021-08,8,kallisto_pseudo/0.46.0.2
66,2021-08,8,gatk4_mutect2/4.1.7.0+galaxy0
