,month_year,avg_cpu_time,tool_name_version
0,2021-08,675946,slamdunk/0.4.1+galaxy2
1,2021-08,217202,trinity/2.9.1+galaxy1
2,2021-08,143159,ncbi_blastx_wrapper/2.10.1+galaxy0
3,2021-08,108648,hyphy_fel/2.5.31+galaxy1
4,2021-08,103168,hyphy_meme/2.5.31+galaxy2
5,2021-08,93161,hyphy_absrel/2.5.31+galaxy1
6,2021-08,71056,vsearch_search/1.9.7.0
7,2021-08,48945,unicycler/0.4.8.0
8,2021-08,47212,plant_tribes_gene_family_classifier/1.0.3.0
9,2021-08,45909,fasterq_dump/2.10.9+galaxy0
10,2021-08,43522,rnaspades/3.9.0.2
11,2021-08,42428,roary/3.13.0+galaxy1
12,2021-08,41042,maxquant/1.6.10.43+galaxy3
13,2021-08,40154,gmx_sim/2020.2+galaxy0
14,2021-08,36863,megahit/1.1.3.5
15,2021-08,35676,bwa_mem/0.7.15.1
16,2021-08,32957,freebayes/1.1.0.46-0
17,2021-08,30531,flye/2.6
18,2021-08,28247,freebayes/1.3.1
19,2021-08,28128,bowtie2/2.3.2.2
20,2021-08,27255,tophat2/2.1.1
21,2021-08,26773,hyphy_bgm/2.5.31+galaxy2
22,2021-08,25387,cuffdiff/2.2.1.6
23,2021-08,23099,bowtie2/2.3.4.2
24,2021-08,23050,CONVERTER_cram_to_bam_0/CONVERTER_cram_to_bam_0
25,2021-08,21262,iqtree/2.1.2+galaxy1
26,2021-08,20913,trinity_align_and_estimate_abundance/2.9.1+galaxy1
27,2021-08,20764,tophat2/0.9
28,2021-08,19361,deeptools_plot_fingerprint/2.5.0.0
29,2021-08,19134,hisat2/2.1.0
30,2021-08,17625,metaspades/3.9.0
31,2021-08,17199,kpca1/1.0.0
32,2021-08,16811,pipelign/0.2+galaxy0
33,2021-08,16497,mimodd_varcall/0.1.9
34,2021-08,16410,rna_star/2.7.8a
35,2021-08,16235,hisat2/2.1.0+galaxy3
36,2021-08,14339,rseqc_geneBody_coverage/2.6.4.3
37,2021-08,14296,bowtie2/2.4.2+galaxy0
38,2021-08,14168,disco/1.2.0
39,2021-08,14029,dexseq/1.28.1+galaxy1
40,2021-08,13846,deeptools_bigwig_compare/3.3.2.0.0
41,2021-08,12129,anndata_export/0.7.5+galaxy0
42,2021-08,11968,bwa/0.7.17.4
43,2021-08,11741,bwameth/0.2.2
44,2021-08,11730,bowtie2/2.3.4.3
45,2021-08,11602,feelnc/0.2
46,2021-08,11553,bowtie2/2.3.4.3+galaxy0
47,2021-08,11187,CONVERTER_sam_to_bigwig_0/CONVERTER_sam_to_bigwig_0
48,2021-08,11094,cufflinks/2.2.1.3
49,2021-08,9991,hisat2/2.1.0+galaxy5
50,2021-08,9713,deeptools_bam_coverage/3.1.2.0.0
51,2021-08,9569,unicycler/0.4.6.0
52,2021-08,9126,rna_star/2.7.8a+galaxy0
53,2021-08,8760,velvetoptimiser/2.2.6
54,2021-08,8303,egsea/1.20.0
55,2021-08,8065,presto_assemblepairs/0.5.4
56,2021-08,7962,mothur_dist_seqs/1.39.5.0
57,2021-08,7657,egsea/1.10.0
58,2021-08,7535,hisat2/2.2.1+galaxy0
59,2021-08,7450,hisat2/2.1.0+galaxy7
60,2021-08,7254,deeptools_bam_compare/3.1.2.0.0
61,2021-08,7195,deeptools_plot_fingerprint/3.3.2.0.0
