,num_jobs,num_users,tool_name_version
0,1182495,27605,__DATA_FETCH__/__DATA_FETCH__
1,719418,19039,upload1/upload1
2,554779,2686,ucsc_table_direct1/ucsc_table_direct1
3,270182,13473,fastqc/0.72+galaxy1
4,189767,9263,fastqc/0.73+galaxy0
5,174609,434,abricate/1.0.1
6,156072,7491,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
7,151983,2487,Cut1/Cut1
8,146192,9247,trimmomatic/0.38.0
9,131909,5873,hisat2/2.2.1+galaxy0
10,123511,7744,bowtie2/2.4.2+galaxy0
11,105594,1224,Add_a_column1/1.6
12,91560,1113,ncbi_blastn_wrapper/2.10.1+galaxy0
13,81377,447,snpSift_filter/4.3+t.galaxy1
14,78679,3396,featurecounts/2.0.1+galaxy2
15,72308,320,tp_find_and_replace/1.1.3
16,68754,3980,Filter1/Filter1
17,63646,102,seqtk_subseq/1.3.1
18,59751,3420,rna_star/2.7.8a+galaxy0
19,59080,5146,bwa_mem/0.7.17.2
20,59020,754,snpSift_extractFields/4.3+t.galaxy0
21,52331,7911,__SET_METADATA__/__SET_METADATA__
22,51120,1570,fastp/0.20.1+galaxy0
23,48428,4828,fastq_dump/2.11.0+galaxy0
24,46679,2291,samtools_stats/2.0.2+galaxy2
25,43693,2385,htseq_count/0.9.1
26,43103,1150,stringtie/2.1.7+galaxy1
27,42389,2101,prokka/1.14.6+galaxy1
28,41852,1187,Grep1/Grep1
29,39639,2101,bedtools_intersectbed/2.30.0
30,38797,164,fastq_combiner/1.1.5
31,37511,1323,fastq_to_fasta_python/1.1.5
32,37331,2264,featurecounts/2.0.1+galaxy1
33,35782,2065,fastq_groomer/1.1.5
34,35265,231,lofreq_filter/2.1.5+galaxy0
35,34993,903,deeptools_compute_matrix/3.3.2.0.0
36,33911,619,snpeff_sars_cov_2/4.5covid19
37,33734,2333,picard_MarkDuplicates/2.18.2.2
38,32749,808,deeptools_plot_heatmap/3.3.2.0.1
39,32346,1355,deeptools_bam_coverage/3.3.2.0.0
40,29839,148,samtools_view/1.9+galaxy2
41,29249,2249,macs2_callpeak/2.1.1.20160309.6
42,29114,1604,cutadapt/3.4+galaxy0
43,28860,4273,fasterq_dump/2.11.0+galaxy1
44,28647,2184,tp_cut_tool/1.1.0
45,27449,3893,deseq2/2.11.40.7+galaxy1
46,27229,2544,join1/join1
47,26914,426,rbc_mafft/7.489+galaxy0
48,26773,455,fasta_merge_files_and_filter_unique_sequences/1.2.0
49,26717,158,cshl_fastx_collapser/1.0.1
50,26467,420,cshl_fastx_trimmer/1.0.2+galaxy0
51,25652,1069,kraken2/2.1.1+galaxy1
52,25066,305,fasta_filter_by_length/1.2
53,24876,1827,trim_galore/0.6.7+galaxy0
54,24844,1834,Grouping1/Grouping1
55,24797,2503,sra_source/sra_source
56,24687,767,stringtie/2.1.1
57,24443,1389,trim_galore/0.6.3
58,24135,2050,cutadapt/3.7+galaxy0
59,24087,164,qualimap_bamqc/2.2.2d+galaxy3
60,23887,245,bcftools_consensus/1.10+galaxy1
61,23264,4377,multiqc/1.11+galaxy0
62,23183,562,lofreq_viterbi/2.1.5+galaxy0
63,21804,140,lastz_wrapper_2/1.3.3
64,21374,538,lofreq_indelqual/2.1.5+galaxy0
65,20550,1190,datamash_ops/1.1.0
66,20473,274,bwa_mem/0.7.17.1
67,20449,2384,bwa/0.7.17.4
68,20088,24,medaka_variant/1.3.2+galaxy1
69,20045,364,gops_subtract_1/1.0.0
70,19665,125,lofreq_call/2.1.5+galaxy0
71,19572,807,snippy/4.6.0+galaxy0
72,19494,1305,bamFilter/2.4.1
73,19308,550,ebi_sra_main/ebi_sra_main
74,19102,553,tab2fasta/1.1.1
75,18726,1477,samtools_idxstats/2.0.3
76,18701,205,gops_concat_1/1.0.1
77,18654,137,gops_merge_1/1.0.0
78,18552,43,bedtools_genomecoveragebed/2.29.2
79,17957,358,kallisto_quant/0.46.2+galaxy0
80,17802,1255,cat1/cat1
81,17442,2844,freebayes/1.3.1
82,17185,750,salmon/1.5.1+galaxy0
83,16988,1094,fastp/0.23.2+galaxy0
84,16947,481,bamleftalign/1.3.1
85,16630,453,fasta2tab/1.1.1
86,16131,282,fastq_join/1.1.2-806.1
87,15888,842,prokka/1.14.5+galaxy0
88,15618,96,replace_column_with_key_value_file/0.2
89,15565,309,vcfvcfintersect/1.0.0_rc3+galaxy0
90,15501,330,filter_by_fasta_ids/2.3
91,15342,2552,fasterq_dump/2.11.0+galaxy0
92,15179,562,tp_replace_in_line/1.1.2
93,14510,34,minimap2/2.17+galaxy2
94,14444,1112,samtool_filter2/1.8+galaxy1
95,14381,262,dada2_filterAndTrim/1.20+galaxy0
96,14227,2919,sort1/sort1
97,14123,148,ivar_trim/1.3.1+galaxy2
98,13912,28,medaka_consensus/1.0.3+galaxy2
99,13811,1452,tophat2/2.1.1
100,13674,1341,ggplot2_heatmap2/3.0.1
101,13570,321,porechop/0.2.4
102,13296,1312,cufflinks/2.2.1.3
103,13149,1664,snpEff/4.3+T.galaxy1
104,12938,301,deeptools_plot_profile/3.3.2.0.0
105,12883,1518,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
106,12623,983,mothur_summary_seqs/1.39.5.0
107,12559,702,fastp/0.19.5+galaxy1
108,12526,187,bcftools_annotate/1.10
109,12413,2312,deseq2/2.11.40.6+galaxy2
110,12266,649,tp_replace_in_column/1.1.3
