,month_year,totalmemory,tool_name_version
0,2021-08,64636,hisat2/2.1.0+galaxy7
1,2021-08,52906,bowtie2/2.4.2+galaxy0
2,2021-08,46502,upload1/upload1
3,2021-08,32019,fastqc/0.72+galaxy1
4,2021-08,29751,rna_star/2.7.8a
5,2021-08,29464,trimmomatic/0.38.0
6,2021-08,29420,fasterq_dump/2.11.0+galaxy0
7,2021-08,23242,htseq_count/0.9.1
8,2021-08,19522,hisat2/2.2.1+galaxy0
9,2021-08,18573,featurecounts/2.0.1
10,2021-08,16647,bwa_mem/0.7.17.2
11,2021-08,15195,stringtie/2.1.1
12,2021-08,13632,seqtk_subseq/1.3.1
13,2021-08,12546,cutadapt/3.4+galaxy0
14,2021-08,12293,fastq_dump/2.11.0+galaxy0
15,2021-08,10175,rna_star/2.7.8a+galaxy0
16,2021-08,10140,tophat2/2.1.1
17,2021-08,9787,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
18,2021-08,9313,__DATA_FETCH__/__DATA_FETCH__
19,2021-08,8956,fastp/0.19.5+galaxy1
20,2021-08,8833,rbc_mafft/7.221.3
21,2021-08,8073,bwa/0.7.17.4
22,2021-08,7558,macs2_callpeak/2.1.1.20160309.6
23,2021-08,7385,trim_galore/0.6.3
24,2021-08,7365,picard_MarkDuplicates/2.18.2.2
25,2021-08,7016,wig_to_bigWig/wig_to_bigWig
26,2021-08,5431,deseq2/2.11.40.6+galaxy1
27,2021-08,4849,bwa_mem/0.7.17.1
28,2021-08,4460,deeptools_bam_coverage/3.3.2.0.0
29,2021-08,4417,samtools_sort/2.0.3
30,2021-08,4277,featurecounts/2.0.1+galaxy1
31,2021-08,3914,qualimap_bamqc/2.2.2c
32,2021-08,3767,kallisto_quant/0.46.2+galaxy0
33,2021-08,3583,salmon/1.5.1+galaxy0
34,2021-08,3536,kallisto_quant/0.46.0.4
35,2021-08,3509,qualimap_bamqc/2.2.2d+galaxy3
36,2021-08,3444,trinity/2.9.1+galaxy1
37,2021-08,3117,bowtie2/2.3.4.3+galaxy0
38,2021-08,2864,ucsc_table_direct1/ucsc_table_direct1
39,2021-08,2833,unicycler/0.4.8.0
40,2021-08,2706,fastq_groomer/1.1.5
41,2021-08,2569,snippy/4.5.0
42,2021-08,2497,fastp/0.20.1+galaxy0
43,2021-08,2495,ncbi_blastn_wrapper/2.10.1+galaxy0
44,2021-08,2494,freebayes/1.3.1
45,2021-08,2319,cufflinks/2.2.1.3
46,2021-08,2306,bwameth/0.2.2
47,2021-08,2263,velvetoptimiser/2.2.6
48,2021-08,2224,ebi_sra_main/ebi_sra_main
49,2021-08,1949,shovill/1.1.0+galaxy0
50,2021-08,1928,prokka/1.14.5+galaxy0
51,2021-08,1803,chipseeker/1.18.0+galaxy1
52,2021-08,1750,samtool_filter2/1.8+galaxy1
53,2021-08,1744,cuffdiff/2.2.1.6
54,2021-08,1711,tophat2/0.9
55,2021-08,1709,snpEff/4.3+T.galaxy1
56,2021-08,1636,deeptools_plot_heatmap/3.3.2.0.1
57,2021-08,1627,kraken2/2.1.1+galaxy1
58,2021-08,1619,deeptools_compute_matrix/3.3.2.0.0
59,2021-08,1604,__SET_METADATA__/__SET_METADATA__
60,2021-08,1587,samtools_rmdup/2.0.1
61,2021-08,1493,minimap2/2.20+galaxy2
62,2021-08,1472,megahit/1.1.3.5
63,2021-08,1384,minimap2/2.20+galaxy1
64,2021-08,1353,bamFilter/2.4.1
65,2021-08,1349,CONVERTER_bedgraph_to_bigwig/CONVERTER_bedgraph_to_bigwig
66,2021-08,1334,tp_cat/0.1.0
67,2021-08,1307,cat_multiple/0.2
68,2021-08,1283,deseq2/2.11.40.6+galaxy2
69,2021-08,1272,fastq_paired_end_deinterlacer/1.1.5
70,2021-08,1261,spades/3.12.0+galaxy1
71,2021-08,1253,diffbind/2.10.0
72,2021-08,1177,lofreq_viterbi/2.1.5+galaxy0
73,2021-08,1095,sam_dump/2.11.0+galaxy0
74,2021-08,1070,dada2_filterAndTrim/1.18+galaxy0
75,2021-08,1037,ivar_trim/1.3.1+galaxy0
76,2021-08,1028,CONVERTER_bam_to_coodinate_sorted_bam/CONVERTER_bam_to_coodinate_sorted_bam
77,2021-08,1020,bwa_mem/0.1
78,2021-08,1014,fastq_join/1.1.2-806.1
79,2021-08,1014,fastq_to_fasta_python/1.1.5
80,2021-08,972,fasta_filter_by_length/1.2
81,2021-08,965,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
82,2021-08,950,dada2_mergePairs/1.18+galaxy0
83,2021-08,948,bam_to_sam/2.0.1
84,2021-08,890,cshl_fastx_collapser/1.0.1
85,2021-08,828,bedtools_bamtobed/2.30.0+galaxy1
86,2021-08,795,picard_MergeSamFiles/2.18.2.1
87,2021-08,787,Filter1/Filter1
88,2021-08,785,rnaspades/3.9.0.2
89,2021-08,774,rna_starsolo/2.7.8a
90,2021-08,756,picard_SortSam/2.18.2.1
91,2021-08,750,CONVERTER_bam_to_bigwig_0/CONVERTER_bam_to_bigwig_0
92,2021-08,730,picard_CollectInsertSizeMetrics/2.18.2.1
93,2021-08,720,fastq_quality_trimmer/1.1.5
94,2021-08,709,Grep1/Grep1
95,2021-08,696,join1/join1
96,2021-08,695,bedtools_genomecoveragebed/2.30.0
97,2021-08,695,samtools_stats/2.0.2+galaxy2
98,2021-08,675,samtools_fastx/1.9+galaxy1
99,2021-08,663,samtools_merge/1.9
100,2021-08,658,cat1/cat1
101,2021-08,632,sam_to_bam/2.1.1
102,2021-08,623,busco/5.0.0+galaxy0
103,2021-08,619,sailfish/0.10.1.1
104,2021-08,604,samtools_view/1.9+galaxy3
