month_year,total_cpu_time,tool_name,tool_version
 2021-05 ,1.58001E+21,bwa_mem,0.7.17.1                                                                              
 2021-05 ,1.41287E+21,rna_star,2.7.8a                                                                             
 2021-05 ,1.34311E+21,tophat2,2.1.1                                                                             
 2021-05 ,7.78674E+20,ncbi_blastp_wrapper,2.10.1+galaxy0                                                
 2021-05 ,5.65306E+20,unicycler,0.4.8.0                                                                           
 2021-05 ,4.73237E+20,trinity_align_and_estimate_abundance,2.9.1+galaxy1               
 2021-05 ,4.38079E+20,spades,3.12.0+galaxy1                                                                          
 2021-05 ,4.1996E+20,fastq_groomer,1.1.1                                                                 
 2021-05 ,4.00072E+20,fasterq_dump,2.10.9+galaxy0                                                                 
 2021-05 ,3.9948E+20,ncbi_blastx_wrapper,2.10.1+galaxy0                                                
 2021-05 ,3.6514E+20,hisat2,2.1.0+galaxy7                                                                           
 2021-05 ,3.29385E+20,freebayes,1.3.1                                                                         
 2021-05 ,3.14986E+20,fastq_dump,2.10.9+galaxy0                                                                   
 2021-05 ,3.05925E+20,bwa,0.7.17.4                                                                                  
 2021-05 ,2.92934E+20,trinity,2.9.1+galaxy1                                                                         
 2021-05 ,2.82098E+20,deeptools_bigwig_compare,3.3.2.0.0                                     
 2021-05 ,1.81063E+20,maxquant,1.6.10.43+galaxy3                                                               
 2021-05 ,1.57198E+20,cuffdiff,2.2.1.6                                                                         
 2021-05 ,1.52695E+20,busco,5.0.0+galaxy0                                                                             
 2021-05 ,1.43277E+20,lofreq_call,2.1.5+galaxy1                                                                 
 2021-05 ,1.18677E+20,trim_galore,0.6.3                                                                   
 2021-05 ,1.1757E+20,flye,2.6
 2021-05 ,1.15008E+20,tophat2,0.9
 2021-05 ,1.13603E+20,deeptools_multi_bam_summary,3.3.2.0.0                               
 2021-05 ,1.10622E+20,ncbi_blastn_wrapper,2.10.1+galaxy0                                                
 2021-05 ,1.08104E+20,htseq_count,0.9.1                                                                    
 2021-05 ,1.07663E+20,prokka,1.14.5+galaxy0                                                                         
 2021-05 ,1.04111E+20,pileup_parser,1.0.2                                                                 
 2021-05 ,1.00554E+20,fastq_groomer,1.1.5                                                                 
 2021-05 ,8.71029E+19,cufflinks,2.2.1.3                                                                       
 2021-05 ,8.15208E+19,sam_pileup,1.1.3                                                                       
 2021-05 ,7.06053E+19,metaspades,3.9.0                                                                           
 2021-05 ,6.23325E+19,rseqc_geneBody_coverage,2.6.4.3                                                              
 2021-05 ,6.03174E+19,rbc_mafft,7.221.3                                                                           
 2021-05 ,5.74063E+19,spaln,2.4.03+galaxy0                                                                            
 2021-05 ,4.77414E+19,clustalw,2.1
 2021-05 ,4.56817E+19,bwa_mem,0.7.15.1                                                                              
 2021-05 ,4.28759E+19,disco,1.2.0                                                                                     
 2021-05 ,3.88055E+19,iqtree,1.5.5.3                                                                                 
 2021-05 ,3.67574E+19,rnaspades,3.9.0.2                                                                           
 2021-05 ,3.64995E+19,roary,3.13.0+galaxy1                                                                            
 2021-05 ,3.44842E+19,minimap2,2.17+galaxy4                                                                        
 2021-05 ,3.29077E+19,fastq_quality_trimmer,1.1.5                                              
 2021-05 ,3.12663E+19,gops_join_1,1.0.0                                                                            
 2021-05 ,3.10816E+19,megablast_wrapper,1.2.0                                                         
 2021-05 ,3.08784E+19,vegan_rarefaction,2.4-3                                                             
 2021-05 ,2.62892E+19,volcanoplot,0.0.3                                                                         
 2021-05 ,2.60472E+19,deeptools_compute_matrix,3.3.2.0.0                                     
 2021-05 ,2.59507E+19,repeatmasker_wrapper,4.0.9                                                        
 2021-05 ,2.58908E+19,megahit,1.1.3.5                                                                               
 2021-05 ,2.53765E+19,stringtie,2.1.1                                                                             
 2021-05 ,2.45125E+19,velvetoptimiser,2.2.6                                                       
 2021-05 ,2.36614E+19,fastq_paired_end_deinterlacer,1.1.5                                 
 2021-05 ,2.17961E+19,dexseq_count,1.28.1.0                                                                          
 2021-05 ,2.15491E+19,mimodd_varcall,0.1.9                                                                    
 2021-05 ,1.93693E+19,lofreq_call,2.1.5+galaxy0                                                                 
 2021-05 ,1.92204E+19,trimmomatic,0.38.0                                                                   
 2021-05 ,1.92081E+19,trinity,2.9.1                                                                                 
 2021-05 ,1.90883E+19,mothur_cluster_split,1.39.5.0                                                    
 2021-05 ,1.77974E+19,quast,5.0.2+galaxy1                                                                             
 2021-05 ,1.76935E+19,bowtie2,2.3.4.3+galaxy0                                                                   
 2021-05 ,1.57323E+19,deeptools_bam_coverage,3.3.2.0.0                                         
 2021-05 ,1.55379E+19,shovill,1.1.0+galaxy0                                                                         
 2021-05 ,1.53692E+19,samtools_view,1.9+galaxy3                                                               
 2021-05 ,1.50383E+19,fastq_paired_end_splitter,1.1.5                                         
 2021-05 ,1.46166E+19,naive_variant_caller,0.0.4                                               
 2021-05 ,1.34731E+19,maker,2.31.11                                                                                   
 2021-05 ,1.32841E+19,cutadapt,1.16.6                                                                         
 2021-05 ,1.31945E+19,porechop,0.2.3                                                                               
 2021-05 ,1.31309E+19,samtools_rmdup,2.0.1                                                               
 2021-05 ,1.25811E+19,deeptools_compute_matrix,3.1.2.0.0                                     
 2021-05 ,1.22855E+19,fastq_filter,1.1.5                                                                   
 2021-05 ,1.13641E+19,augustus_training,3.3.3                                                       
 2021-05 ,1.12507E+19,plant_tribes_gene_family_classifier,1.0.3.0                      
 2021-05 ,1.09479E+19,hisat2,2.1.0+galaxy5                                                                           
 2021-05 ,1.08081E+19,meme_chip,4.11.2+galaxy1                                                                    
 2021-05 ,1.06241E+19,salmon,1.3.0+galaxy1                                                                     
 2021-05 ,1.02257E+19,rna_starsolo,2.7.8a                                                                      
 2021-05 ,1.01952E+19,tophat2,2.1.0                                                                             
 2021-05 ,1.01928E+19,lofreq_alnqual,2.1.5+galaxy0                                                           
 2021-05 ,9.96427E+18,busco,4.1.2                                                                                     
 2021-05 ,9.35399E+18,fastq_stats,1.1.5                                                                     
 2021-05 ,9.2222E+18,microsatellite,1.0.0                                                       
 2021-05 ,8.68789E+18,bcftools_mpileup,1.1
 2021-05 ,8.54518E+18, CONVERTER_sam_to_bigwig_0                                                                                                              , CONVERTER_sam_to_bigwig_0                                                                                                              
 2021-05 ,8.25746E+18,fastq_paired_end_joiner,2.0.1.1+galaxy0                                   
 2021-05 ,8.00939E+18,bioext_bealign,0.19.7.0                                                                
 2021-05 ,7.94031E+18,samtools_mpileup,2.1.4                                                           
 2021-05 ,7.93881E+18,picard_MarkDuplicates,2.18.2.2                                                             
 2021-05 ,7.15035E+18,fastqe,0.2.6+galaxy1                                                                           
 2021-05 ,7.06843E+18, __EXPORT_HISTORY__                                                                                                                     , __EXPORT_HISTORY__                                                                                                                     
 2021-05 ,6.98179E+18,augustus,3.3.3                                                                         
 2021-05 ,6.85435E+18,gubbins,0.1.0                                                                                 
 2021-05 ,5.93354E+18,dexseq,1.28.1+galaxy1                                                                          
 2021-05 ,5.26556E+18,bowtie2,2.3.4.2                                                                           
 2021-05 ,5.18567E+18,hisat2,2.1.0+galaxy4                                                                           
