month_year,numusers,tool_name,tool_version
 2021-05 ,2699,fastqc,0.72+galaxy1                                                                        
 2021-05 ,1163,trimmomatic,0.38.0                                                                   
 2021-05 ,988,hisat2,2.1.0+galaxy7                                                                           
 2021-05 ,929, CONVERTER_gz_to_uncompressed                                                                                                           , CONVERTER_gz_to_uncompressed                                                                                                           
 2021-05 ,913,fastq_dump,2.10.9+galaxy0                                                                   
 2021-05 ,897,deseq2,2.11.40.6+galaxy1                                                                       
 2021-05 ,892,bowtie2,2.4.2+galaxy0                                                                     
 2021-05 ,854, __SET_METADATA__                                                                                                                       , __SET_METADATA__                                                                                                                       
 2021-05 ,767,fasterq_dump,2.10.9+galaxy0                                                                 
 2021-05 ,759, __DATA_FETCH__                                                                                                                         , __DATA_FETCH__                                                                                                                         
 2021-05 ,739,multiqc,1.9+galaxy1                                                                           
 2021-05 ,737,featurecounts,2.0.1                                                                     
 2021-05 ,602,bwa_mem,0.7.17.1                                                                              
 2021-05 ,510, Filter1                                                                                                                                , Filter1                                                                                                                                
 2021-05 ,486,rna_star,2.7.8a                                                                             
 2021-05 ,428,cutadapt,1.16.6                                                                         
 2021-05 ,371,freebayes,1.3.1                                                                         
 2021-05 ,365, sort1                                                                                                                                  , sort1                                                                                                                                  
 2021-05 ,359, Grouping1                                                                                                                              , Grouping1                                                                                                                              
 2021-05 ,343, ucsc_table_direct1                                                                                                                     , ucsc_table_direct1                                                                                                                     
 2021-05 ,335, join1                                                                                                                                  , join1                                                                                                                                  
 2021-05 ,329,gops_join_1,1.0.0                                                                            
 2021-05 ,315,trim_galore,0.6.3                                                                   
 2021-05 ,312,macs2_callpeak,2.1.1.20160309.6                                                                 
 2021-05 ,282,prokka,1.14.5+galaxy0                                                                         
 2021-05 ,282,deeptools_bam_coverage,3.3.2.0.0                                         
 2021-05 ,281,fastp,0.19.5+galaxy1                                                                            
 2021-05 ,276, Cut1                                                                                                                                   , Cut1                                                                                                                                   
 2021-05 ,252,picard_MarkDuplicates,2.18.2.2                                                             
 2021-05 ,251,tophat2,2.1.1                                                                             
 2021-05 ,245,htseq_count,0.9.1                                                                    
 2021-05 ,244, sra_source                                                                                                                             , sra_source                                                                                                                             
 2021-05 ,243,stringtie,2.1.1                                                                             
 2021-05 ,243,spades,3.12.0+galaxy1                                                                          
 2021-05 ,240,bwa,0.7.17.4                                                                                  
 2021-05 ,231,tp_cut_tool,1.1.0                                                               
 2021-05 ,214,fastq_groomer,1.1.5                                                                 
 2021-05 ,212,cuffdiff,2.2.1.6                                                                         
 2021-05 ,211,cufflinks,2.2.1.3                                                                       
 2021-05 ,208,snpEff,4.3+T.galaxy1                                                                           
 2021-05 ,202,quast,5.0.2+galaxy1                                                                             
 2021-05 ,195, CONVERTER_bam_to_bigwig_0                                                                                                              , CONVERTER_bam_to_bigwig_0                                                                                                              
 2021-05 ,192, CONVERTER_fasta_to_tabular                                                                                                             , CONVERTER_fasta_to_tabular                                                                                                             
 2021-05 ,185, CONVERTER_interval_to_bedstrict_0                                                                                                      , CONVERTER_interval_to_bedstrict_0                                                                                                      
 2021-05 ,184,samtools_stats,2.0.2+galaxy2                                                       
 2021-05 ,184,bamFilter,2.4.1                                                                   
 2021-05 ,179,deg_annotate,1.1.0                                                                       
 2021-05 ,173,samtool_filter2,1.8+galaxy1                                                       
 2021-05 ,165,edger,3.24.1+galaxy1                                                                            
 2021-05 ,160,tp_head_tool,1.1.0                                                              
