,month_year,avg_cpu_time,tool_name_version
3, 2020-01 ,  1432384144685447175.00000000000000,dexseq/1.20.1                                                                                  
4, 2020-01 ,  1410667388410589746.00000000000000,iterative_map_pipeline/1.0                                                             
5, 2020-01 ,  1346220656313615936.29411764705882,rseqc_geneBody_coverage2/2.6.4.1                                                             
6, 2020-01 ,  1228597382527483732.00000000000000,augustus/3.3.3                                                                         
7, 2020-01 ,  1148344470794887687.41764705882353,cuffdiff/2.2.1.5                                                                         
8, 2020-01 ,  1038349938796273012.42957746478873,bowtie2/2.3.4.2                                                                           
9, 2020-01 ,  1023291815199664168.88382099827883,tophat2/2.1.1                                                                             
10, 2020-01 ,   940017350562886836.00000000000000,bcftools_mpileup/1.4.0.0                                                             
11, 2020-01 ,   865684594960897004.53333333333333,cuffquant/2.2.1.1                                                                       
12, 2020-01 ,   826310680345078606.34497816593886,bwa_wrapper/1.2.3                                                                    
13, 2020-01 ,   767262257840712180.00000000000000,deeptools_multi_bam_summary/3.1.2.0.0                               
14, 2020-01 ,   765404667860705913.88888888888889,bwameth/0.2.2                                                                                 
15, 2020-01 ,   626585710454493866.18234165067179,rna_star/2.6.0b-1                                                                           
16, 2020-01 ,   560797818770827140.43373493975904,align_families/2.14                                                                           
17, 2020-01 ,   552641067346664579.65217391304348,mimodd_varcall/0.1.9                                                                    
18, 2020-01 ,   478573521816534397.15000000000000,velvetoptimiser/2.2.6                                                       
19, 2020-01 ,   474482318510958978.15584415584416,presto_maskprimers/0.5.4                                                           
20, 2020-01 ,   449722130927308774.08333333333333,bowtie2/0.4                                                                               
21, 2020-01 ,   436471710945600849.70924369747899,freebayes/1.1.0.46-0                                                                    
22, 2020-01 ,   396944588060916296.13846153846154,meme_meme/4.12.0.0                                                                          
23, 2020-01 ,   382990755495324559.61538461538462,tophat2/2.1.0                                                                             
24, 2020-01 ,   366230143510429432.33333333333333,megahit/1.1.3.4                                                                               
25, 2020-01 ,   333388795044040234.00000000000000,tophat2/0.9                                                                               
26, 2020-01 ,   326211267088068759.01538461538462,snippy/4.4.5+galaxy0                                                                           
27, 2020-01 ,   320551930468597724.48150833937636,bwa_mem/0.7.17.1                                                                              
28, 2020-01 ,   298353333244108117.94158075601375,deeptools_bam_coverage/3.3.0.0.0                                         
29, 2020-01 ,   294061129850875473.10937500000000, random_lines1                                                                                                                          / random_lines1                                                                                                                          
30, 2020-01 ,   292396351760993669.03024390243902,bwa/0.7.17.4                                                                                  
31, 2020-01 ,   266444198460008283.48000000000000,presto_assemblepairs/0.5.4                                                       
32, 2020-01 ,   236383018305495463.92342342342342,ncbi_blastx_wrapper/0.3.3                                                         
33, 2020-01 ,   230158267587567819.90330742815832,bowtie2/2.3.4.3+galaxy0                                                                   
34, 2020-01 ,   219194235307902459.50000000000000,bowtie2/2.3.2.2                                                                           
35, 2020-01 ,   198262634333448823.33333333333333,presto_filterseq/0.5.4                                                               
36, 2020-01 ,   190262896543498891.98936170212766,bcftools_mpileup/1.9+galaxy2                                                         
37, 2020-01 ,   188625358727336302.34000000000000,presto_buildconsensus/0.5.4                                                     
38, 2020-01 ,   170545114885672355.17511520737327, __EXPORT_HISTORY__                                                                                                                     / __EXPORT_HISTORY__                                                                                                                     
39, 2020-01 ,   169750312716629918.77464788732394, liftOver1                                                                                                                              / liftOver1                                                                                                                              
40, 2020-01 ,   166790096703700053.78688524590164,rseqc_tin/2.6.4.1                                                                            
41, 2020-01 ,   162514882843615666.40425531914894,clustalw/2.1                                                                             
42, 2020-01 ,   162504394568530136.42288557213930,samtools_mpileup/2.1.4                                                           
43, 2020-01 ,   132645928997712000.00000000000000,crossmap_wig/0.3.7                                                                       
44, 2020-01 ,   120282159003881120.25000000000000, CONVERTER_interval_to_bgzip_0                                                                                                          / CONVERTER_interval_to_bgzip_0                                                                                                          
45, 2020-01 ,   115863877879065197.58426966292135,dexseq/1.28.1+galaxy1                                                                          
46, 2020-01 ,   106731411795922193.87500000000000,shovill/1.0.4+galaxy0                                                                         
47, 2020-01 ,   100159325549517130.75000000000000,ncbi_tblastx_wrapper/0.3.3                                                        
48, 2020-01 ,    96416110593586036.64285714285714,deeptools_plot_coverage/3.3.0.0.0                                       
49, 2020-01 ,    94006584125673300.94306049822064,deeptools_bam_compare/3.3.0.0.0                                           
50, 2020-01 ,    91779109156189180.30000000000000,gd_raxml/1.0.0                                                                
51, 2020-01 ,    85504056774118290.66897202137693,fastq_groomer/1.1.1                                                                 
52, 2020-01 ,    82323232693286813.33333333333333,deeptools_multi_bigwig_summary/3.1.2.0.0                         
53, 2020-01 ,    82197910471974678.27173913043478,gatk_depth_of_coverage/0.0.2                                                    
54, 2020-01 ,    81973791183295407.36470588235294,lofreq_call/2.1.3.1+galaxy0                                                               
55, 2020-01 ,    79758142658397165.87159533073930,fastq_stats/1.1.1                                                                     
56, 2020-01 ,    77166240657468317.33333333333333,bcftools_call/1.4.0                                                                     
57, 2020-01 ,    74705683788665182.00000000000000,varscan_somatic/2.4.3.5                                                               
58, 2020-01 ,    74079229951173482.03453947368421,ncbi_blastn_wrapper/0.3.3                                                         
59, 2020-01 ,    74043195565999599.34375000000000,gatk_count_covariates/0.0.5                                                      
60, 2020-01 ,    73369432811503908.51923076923077,naive_variant_caller/0.0.4                                               
61, 2020-01 ,    70038342971381974.77399380804954,fastq_groomer/1.0.4                                                                 
62, 2020-01 ,    67435924253633911.30769230769231,cufflinks/2.2.1.0                                                                       
63, 2020-01 ,    66675074256637314.88461538461538,gatk_table_recalibration/0.0.5                                                
64, 2020-01 ,    65836947027461666.92857142857143,samtools_phase/2.0.1                                                               
65, 2020-01 ,    64826964914240651.41520467836257,sam_dump/2.10.4                                                                             
66, 2020-01 ,    62734857673776106.72727272727273,varscan_mpileup/2.4.3.1                                                               
67, 2020-01 ,    61950299211829610.27715355805243,fastq_paired_end_joiner/2.0.1.1                                           
68, 2020-01 ,    61645877842752727.91666666666667,deeptools_bam_compare/3.1.2.0.0                                           
69, 2020-01 ,    60964702215691494.48684210526316,fastq_paired_end_deinterlacer/1.1.2                                 
70, 2020-01 ,    54423323605553333.99224806201550,prokka/1.13                                                                                   
