month_year,total_cpu_time,tool_name,tool_version
 2020-1     ,1.27347E+21,bowtie2,2.3.4.3+galaxy0                                                                   
 2020-1     ,1.18907E+21,tophat2,2.1.1                                                                             
 2020-1     ,7.81387E+20,deeptools_bam_coverage,3.3.0.0.0                                         
 2020-1     ,5.19401E+20,freebayes,1.1.0.46-0                                                                    
 2020-1     ,3.90437E+20,cuffdiff,2.2.1.5                                                                         
 2020-1     ,3.7845E+20,bwa_wrapper,1.2.3                                                                    
 2020-1     ,3.26451E+20,rna_star,2.6.0b-1                                                                           
 2020-1     ,2.99706E+20,bwa,0.7.17.4                                                                                  
 2020-1     ,2.71988E+20,fastq_groomer,1.1.1                                                                 
 2020-1     ,1.90732E+20,hisat2,2.1.0+galaxy5                                                                           
 2020-1     ,1.59811E+20,trimmomatic,0.38.0                                                                   
 2020-1     ,1.48646E+20,htseq_count,0.9.1                                                                    
 2020-1     ,1.47446E+20,bowtie2,2.3.4.2                                                                           
 2020-1     ,9.89847E+19,fastq_dump,2.10.4                                                                           
 2020-1     ,8.89582E+19,trim_galore,0.6.3                                                                   
 2020-1     ,7.02061E+19,prokka,1.13
 2020-1     ,6.90954E+19,cufflinks,2.2.1.2                                                                       
 2020-1     ,6.53268E+19,samtools_mpileup,2.1.4                                                           
 2020-1     ,5.2477E+19,ncbi_blastx_wrapper,0.3.3                                                         
 2020-1     ,4.65462E+19,align_families,2.14
 2020-1     ,4.50402E+19,ncbi_blastn_wrapper,0.3.3                                                         
 2020-1     ,4.20121E+19,cutadapt,1.16.6                                                                         
 2020-1     ,3.89558E+19,cuffquant,2.2.1.1                                                                       
 2020-1     ,3.8191E+19,clustalw,2.1
 2020-1     ,3.70083E+19, __EXPORT_HISTORY__                                                                                                                     , __EXPORT_HISTORY__                                                                                                                     
 2020-1     ,3.65351E+19,presto_maskprimers,0.5.4                                                           
 2020-1     ,3.5029E+19,fasterq_dump,2.10.4                                                                         
 2020-1     ,2.80827E+19,mothur_classify_seqs,1.39.5.0                                                    
 2020-1     ,2.72969E+19,deeptools_compute_matrix,3.3.0.0.0                                     
 2020-1     ,2.64159E+19,deeptools_bam_compare,3.3.0.0.0                                           
 2020-1     ,2.58014E+19,meme_meme,4.12.0.0                                                                          
 2020-1     ,2.54215E+19,mimodd_varcall,0.1.9                                                                    
 2020-1     ,2.28858E+19,rseqc_geneBody_coverage2,2.6.4.1                                                             
 2020-1     ,2.26224E+19,fastq_groomer,1.0.4                                                                 
 2020-1     ,2.21098E+19,bowtie_wrapper,1.2.0                                                              
 2020-1     ,2.12037E+19,snippy,4.4.5+galaxy0                                                                           
 2020-1     ,2.04978E+19,fastq_stats,1.1.1                                                                     
 2020-1     ,1.92463E+19,fastq_filter,1.1.1                                                                   
 2020-1     ,1.90761E+19,naive_variant_caller,0.0.4                                               
 2020-1     ,1.88199E+19, random_lines1                                                                                                                          , random_lines1                                                                                                                          
 2020-1     ,1.78847E+19,bcftools_mpileup,1.9+galaxy2                                                         
 2020-1     ,1.78436E+19,presto_filterseq,0.5.4                                                               
 2020-1     ,1.69412E+19,edger,3.24.1+galaxy1                                                                            
 2020-1     ,1.65407E+19,fastq_paired_end_joiner,2.0.1.1                                           
 2020-1     ,1.64319E+19,pileup_parser,1.0.2                                                                 
 2020-1     ,1.63217E+19,gops_join_1,1.0.0                                                                            
 2020-1     ,1.61708E+19,bedtools_multicovtbed,2.29.0                                                                 
 2020-1     ,1.41357E+19,mothur_align_seqs,1.39.5.0                                                          
 2020-1     ,1.39E+19,fastq_paired_end_deinterlacer,1.1.2                                 
 2020-1     ,1.20523E+19, liftOver1                                                                                                                              , liftOver1                                                                                                                              
 2020-1     ,1.20485E+19, CONVERTER_bam_to_bigwig_0                                                                                                              , CONVERTER_bam_to_bigwig_0                                                                                                              
 2020-1     ,1.10854E+19,sam_dump,2.10.4                                                                             
 2020-1     ,1.04057E+19,fastq_quality_trimmer,1.1.1                                              
 2020-1     ,1.03119E+19,dexseq,1.28.1+galaxy1                                                                          
