,tool_id,month_year,avg_cpu_time,tool_name,tool_version
3, toolshed.g2.bx.psu.edu/repos/iuc/trinity/trinity/2.9.1                                                                                 , 2021-05 , 6402687096199534743.00000000000000,trinity,2.9.1                                                                                 
4, toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastx_wrapper/2.10.1+galaxy0                                                , 2021-05 , 5472324463177352863.04109589041096,ncbi_blastx_wrapper,2.10.1+galaxy0                                                
5, toolshed.g2.bx.psu.edu/repos/iuc/trinity/trinity/2.9.1+galaxy1                                                                         , 2021-05 , 5230971783260312254.92857142857143,trinity,2.9.1+galaxy1                                                                         
6, toolshed.g2.bx.psu.edu/repos/iuc/gubbins/gubbins/0.1.0                                                                                 , 2021-05 , 3427174846094924548.50000000000000,gubbins,0.1.0                                                                                 
7, toolshed.g2.bx.psu.edu/repos/galaxyp/maxquant/maxquant/1.6.10.43+galaxy3                                                               , 2021-05 , 3353011446170356365.66666666666667,maxquant,1.6.10.43+galaxy3                                                               
8, toolshed.g2.bx.psu.edu/repos/iuc/trinity_align_and_estimate_abundance/trinity_align_and_estimate_abundance/2.9.1+galaxy1               , 2021-05 , 3241351872785558028.46575342465753,trinity_align_and_estimate_abundance,2.9.1+galaxy1               
9, toolshed.g2.bx.psu.edu/repos/iuc/vegan_rarefaction/vegan_rarefaction/2.4-3                                                             , 2021-05 , 2807126018378619164.63636363636364,vegan_rarefaction,2.4-3                                                             
10, toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastp_wrapper/2.10.1+galaxy0                                                , 2021-05 , 2528162287407995121.81493506493506,ncbi_blastp_wrapper,2.10.1+galaxy0                                                
11, toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/4.1.2                                                                                     , 2021-05 , 1992853272614929639.00000000000000,busco,4.1.2                                                                                     
12, toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.1.1                                                                 , 2021-05 , 1609042374076152560.49042145593870,fastq_groomer,1.1.1                                                                 
13, toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.9                                                                               , 2021-05 , 1369145431146074109.71428571428571,tophat2,0.9                                                                               
14, toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.4.8.0                                                                           , 2021-05 , 1239706301552991504.99122807017544,unicycler,0.4.8.0                                                                           
15, toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/3.3.2.0.0                                     , 2021-05 , 1215939507643059151.60344827586207,deeptools_bigwig_compare,3.3.2.0.0                                     
16, toolshed.g2.bx.psu.edu/repos/iuc/rnaspades/rnaspades/3.9.0.2                                                                           , 2021-05 , 1148668906589640176.50000000000000,rnaspades,3.9.0.2                                                                           
17, toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.1                                                                             , 2021-05 , 1045224544585255674.52373540856031,tophat2,2.1.1                                                                             
18, toolshed.g2.bx.psu.edu/repos/iuc/hyphy_prime/hyphy_prime/2.5.31+galaxy1                                                                , 2021-05 , 1017212732930281432.00000000000000,hyphy_prime,2.5.31+galaxy1                                                                
19, toolshed.g2.bx.psu.edu/repos/bgruening/flye/flye/2.6                                                                                   , 2021-05 ,  948147098946288461.41935483870968,flye,2.6                                                                                   
20, toolshed.g2.bx.psu.edu/repos/nml/metaspades/metaspades/3.9.0                                                                           , 2021-05 ,  850666547052221133.51807228915663,metaspades,3.9.0                                                                           
21, toolshed.g2.bx.psu.edu/repos/nml/spades/spades/3.12.0+galaxy1                                                                          , 2021-05 ,  763203718844110848.27874564459930,spades,3.12.0+galaxy1                                                                          
22, toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.2                                                                           , 2021-05 ,  752222333803858976.14285714285714,bowtie2,2.3.4.2                                                                           
23, toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.15.1                                                                              , 2021-05 ,  736801426712865860.25806451612903,bwa_mem,0.7.15.1                                                                              
24, toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/2.1.0                                                                             , 2021-05 ,  679680935925183032.33333333333333,tophat2,2.1.0                                                                             
25, toolshed.g2.bx.psu.edu/repos/iuc/lofreq_alnqual/lofreq_alnqual/2.1.5+galaxy0                                                           , 2021-05 ,  679518692090065885.93333333333333,lofreq_alnqual,2.1.5+galaxy0                                                           
26, toolshed.g2.bx.psu.edu/repos/devteam/megablast_wrapper/megablast_wrapper/1.2.0                                                         , 2021-05 ,  597723965101399057.05769230769231,megablast_wrapper,1.2.0                                                         
27, toolshed.g2.bx.psu.edu/repos/greg/plant_tribes_gene_family_classifier/plant_tribes_gene_family_classifier/1.0.3.0                      , 2021-05 ,  592141656342115250.42105263157895,plant_tribes_gene_family_classifier,1.0.3.0                      
28, toolshed.g2.bx.psu.edu/repos/wolma/mimodd_main/mimodd_varcall/0.1.9                                                                    , 2021-05 ,  582408480951630157.81081081081081,mimodd_varcall,0.1.9                                                                    
29, toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/3.3.2.0.0                               , 2021-05 ,  551471409799873683.77184466019417,deeptools_multi_bam_summary,3.3.2.0.0                               
30, toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0                                                       , 2021-05 ,  512344485375806685.50000000000000,microsatellite,1.0.0                                                       
31, toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_geneBody_coverage/2.6.4.3                                                              , 2021-05 ,  458327537404857708.71323529411765,rseqc_geneBody_coverage,2.6.4.3                                                              
32, toolshed.g2.bx.psu.edu/repos/iuc/rnaspades/rnaspades/3.9.0.1                                                                           , 2021-05 ,  366561421447088936.50000000000000,rnaspades,3.9.0.1                                                                           
33, toolshed.g2.bx.psu.edu/repos/devteam/pileup_parser/pileup_parser/1.0.2                                                                 , 2021-05 ,  349365402602786880.29194630872483,pileup_parser,1.0.2                                                                 
34, toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/3.1.2.0.0                                     , 2021-05 ,  314528537668613968.87500000000000,deeptools_compute_matrix,3.1.2.0.0                                     
35, toolshed.g2.bx.psu.edu/repos/iuc/bwameth/bwameth/0.2.2                                                                                 , 2021-05 ,  304789650154920515.14285714285714,bwameth,0.2.2                                                                                 
36, toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.8a                                                                             , 2021-05 ,  302023935207293232.67550235143224,rna_star,2.7.8a                                                                             
37, toolshed.g2.bx.psu.edu/repos/iuc/rna_starsolo/rna_starsolo/2.7.8a                                                                      , 2021-05 ,  300755930241819769.08823529411765,rna_starsolo,2.7.8a                                                                      
38, toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0                                                                     , 2021-05 ,  289570129278706972.44901669145596,bowtie2,2.4.2+galaxy0                                                                     
39, CONVERTER_sam_to_bigwig_0                                                                                                              , 2021-05 ,  284839461603740664.06666666666667, CONVERTER_sam_to_bigwig_0                                                                                                              , CONVERTER_sam_to_bigwig_0                                                                                                              
40, toolshed.g2.bx.psu.edu/repos/iuc/megahit/megahit/1.1.3.5                                                                               , 2021-05 ,  281421655752801901.06521739130435,megahit,1.1.3.5                                                                               
41, toolshed.g2.bx.psu.edu/repos/iuc/iqtree/iqtree/1.5.5.3                                                                                 , 2021-05 ,  262199098450426555.08783783783784,iqtree,1.5.5.3                                                                                 
42, toolshed.g2.bx.psu.edu/repos/bgruening/repeat_masker/repeatmasker_wrapper/4.0.9                                                        , 2021-05 ,  249526198098875219.93269230769231,repeatmasker_wrapper,4.0.9                                                        
43, toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3                                                                           , 2021-05 ,  249245372185315928.90909090909091,rbc_mafft,7.221.3                                                                           
44, toolshed.g2.bx.psu.edu/repos/iuc/roary/roary/3.13.0+galaxy1                                                                            , 2021-05 ,  246618374118834165.20945945945946,roary,3.13.0+galaxy1                                                                            
45, toolshed.g2.bx.psu.edu/repos/iuc/busco/busco/5.0.0+galaxy0                                                                             , 2021-05 ,  235639834067610883.33796296296296,busco,5.0.0+galaxy0                                                                             
46, toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.17.4                                                                                  , 2021-05 ,  222977199732657565.91180758017493,bwa,0.7.17.4                                                                                  
47, toolshed.g2.bx.psu.edu/repos/iuc/trinity_align_and_estimate_abundance/trinity_align_and_estimate_abundance/2.9.1                       , 2021-05 ,  203727689583427205.53846153846154,trinity_align_and_estimate_abundance,2.9.1                       
48, toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.6                                                                         , 2021-05 ,  198482646471786214.82323232323232,cuffdiff,2.2.1.6                                                                         
49, toolshed.g2.bx.psu.edu/repos/devteam/sam_pileup/sam_pileup/1.1.3                                                                       , 2021-05 ,  177605229930070599.68845315904139,sam_pileup,1.1.3                                                                       
50, toolshed.g2.bx.psu.edu/repos/iuc/maker/maker/2.31.11                                                                                   , 2021-05 ,  168414254933085134.96250000000000,maker,2.31.11                                                                                   
