month_year,avg_cpu_time,tool_name,tool_version
 2020-1     ,1.43238E+18,dexseq,1.20.1                                                                                  
 2020-1     ,1.41067E+18,iterative_map_pipeline,1
 2020-1     ,1.34622E+18,rseqc_geneBody_coverage2,2.6.4.1                                                             
 2020-1     ,1.2286E+18,augustus,3.3.3                                                                         
 2020-1     ,1.14834E+18,cuffdiff,2.2.1.5                                                                         
 2020-1     ,1.03835E+18,bowtie2,2.3.4.2                                                                           
 2020-1     ,1.02329E+18,tophat2,2.1.1                                                                             
 2020-1     ,9.40017E+17,bcftools_mpileup,1.4.0.0                                                             
 2020-1     ,8.65685E+17,cuffquant,2.2.1.1                                                                       
 2020-1     ,8.26311E+17,bwa_wrapper,1.2.3                                                                    
 2020-1     ,7.67262E+17,deeptools_multi_bam_summary,3.1.2.0.0                               
 2020-1     ,7.65405E+17,bwameth,0.2.2                                                                                 
 2020-1     ,6.26586E+17,rna_star,2.6.0b-1                                                                           
 2020-1     ,5.60798E+17,align_families,2.14
 2020-1     ,5.52641E+17,mimodd_varcall,0.1.9                                                                    
 2020-1     ,4.78574E+17,velvetoptimiser,2.2.6                                                       
 2020-1     ,4.74482E+17,presto_maskprimers,0.5.4                                                           
 2020-1     ,4.49722E+17,bowtie2,0.4
 2020-1     ,4.36472E+17,freebayes,1.1.0.46-0                                                                    
 2020-1     ,3.96945E+17,meme_meme,4.12.0.0                                                                          
 2020-1     ,3.82991E+17,tophat2,2.1.0                                                                             
 2020-1     ,3.6623E+17,megahit,1.1.3.4                                                                               
 2020-1     ,3.33389E+17,tophat2,0.9
 2020-1     ,3.26211E+17,snippy,4.4.5+galaxy0                                                                           
 2020-1     ,3.20552E+17,bwa_mem,0.7.17.1                                                                              
 2020-1     ,2.98353E+17,deeptools_bam_coverage,3.3.0.0.0                                         
 2020-1     ,2.94061E+17, random_lines1                                                                                                                          , random_lines1                                                                                                                          
 2020-1     ,2.92396E+17,bwa,0.7.17.4                                                                                  
 2020-1     ,2.66444E+17,presto_assemblepairs,0.5.4                                                       
 2020-1     ,2.36383E+17,ncbi_blastx_wrapper,0.3.3                                                         
 2020-1     ,2.30158E+17,bowtie2,2.3.4.3+galaxy0                                                                   
 2020-1     ,2.19194E+17,bowtie2,2.3.2.2                                                                           
 2020-1     ,1.98263E+17,presto_filterseq,0.5.4                                                               
 2020-1     ,1.90263E+17,bcftools_mpileup,1.9+galaxy2                                                         
 2020-1     ,1.88625E+17,presto_buildconsensus,0.5.4                                                     
 2020-1     ,1.70545E+17, __EXPORT_HISTORY__                                                                                                                     , __EXPORT_HISTORY__                                                                                                                     
 2020-1     ,1.6975E+17, liftOver1                                                                                                                              , liftOver1                                                                                                                              
 2020-1     ,1.6679E+17,rseqc_tin,2.6.4.1                                                                            
 2020-1     ,1.62515E+17,clustalw,2.1
 2020-1     ,1.62504E+17,samtools_mpileup,2.1.4                                                           
 2020-1     ,1.32646E+17,crossmap_wig,0.3.7                                                                       
 2020-1     ,1.20282E+17, CONVERTER_interval_to_bgzip_0                                                                                                          , CONVERTER_interval_to_bgzip_0                                                                                                          
 2020-1     ,1.15864E+17,dexseq,1.28.1+galaxy1                                                                          
 2020-1     ,1.06731E+17,shovill,1.0.4+galaxy0                                                                         
 2020-1     ,1.00159E+17,ncbi_tblastx_wrapper,0.3.3                                                        
 2020-1     ,9.64161E+16,deeptools_plot_coverage,3.3.0.0.0                                       
 2020-1     ,9.40066E+16,deeptools_bam_compare,3.3.0.0.0                                           
 2020-1     ,9.17791E+16,gd_raxml,1.0.0                                                                
 2020-1     ,8.55041E+16,fastq_groomer,1.1.1                                                                 
 2020-1     ,8.23232E+16,deeptools_multi_bigwig_summary,3.1.2.0.0                         
 2020-1     ,8.21979E+16,gatk_depth_of_coverage,0.0.2                                                    
 2020-1     ,8.19738E+16,lofreq_call,2.1.3.1+galaxy0                                                               
 2020-1     ,7.97581E+16,fastq_stats,1.1.1                                                                     
 2020-1     ,7.71662E+16,bcftools_call,1.4.0                                                                     
 2020-1     ,7.47057E+16,varscan_somatic,2.4.3.5                                                               
 2020-1     ,7.40792E+16,ncbi_blastn_wrapper,0.3.3                                                         
 2020-1     ,7.40432E+16,gatk_count_covariates,0.0.5                                                      
 2020-1     ,7.33694E+16,naive_variant_caller,0.0.4                                               
 2020-1     ,7.00383E+16,fastq_groomer,1.0.4                                                                 
 2020-1     ,6.74359E+16,cufflinks,2.2.1.0                                                                       
 2020-1     ,6.66751E+16,gatk_table_recalibration,0.0.5                                                
 2020-1     ,6.58369E+16,samtools_phase,2.0.1                                                               
 2020-1     ,6.4827E+16,sam_dump,2.10.4                                                                             
 2020-1     ,6.27349E+16,varscan_mpileup,2.4.3.1                                                               
 2020-1     ,6.19503E+16,fastq_paired_end_joiner,2.0.1.1                                           
 2020-1     ,6.16459E+16,deeptools_bam_compare,3.1.2.0.0                                           
 2020-1     ,6.09647E+16,fastq_paired_end_deinterlacer,1.1.2                                 
 2020-1     ,5.44233E+16,prokka,1.13
