  date   |                                                                tool_id                                                                 | num_jobs | num_users 
---------+----------------------------------------------------------------------------------------------------------------------------------------+----------+-----------
 2020-01 | CONVERTER_Bam_Bai_0                                                                                                                    |       32 |        19
 2020-01 | CONVERTER_bam_to_bigwig_0                                                                                                              |      511 |       195
 2020-01 | CONVERTER_bam_to_coodinate_sorted_bam                                                                                                  |      917 |       144
 2020-01 | CONVERTER_bed_gff_or_vcf_to_bigwig_0                                                                                                   |      177 |        94
 2020-01 | CONVERTER_bed_to_bgzip_0                                                                                                               |       43 |        35
 2020-01 | CONVERTER_bed_to_fli_0                                                                                                                 |       44 |        37
 2020-01 | CONVERTER_bed_to_gff_0                                                                                                                 |      101 |        47
 2020-01 | CONVERTER_bed_to_tabix_0                                                                                                               |       35 |        30
 2020-01 | CONVERTER_bedgraph_to_bigwig                                                                                                           |      190 |        41
 2020-01 | CONVERTER_biom2_to_biom1                                                                                                               |       14 |         5
 2020-01 | CONVERTER_bz2_to_uncompressed                                                                                                          |       71 |         8
 2020-01 | CONVERTER_cram_to_bam_0                                                                                                                |        1 |         1
 2020-01 | CONVERTER_fasta_to_2bit                                                                                                                |       29 |        26
 2020-01 | CONVERTER_fasta_to_bowtie_base_index                                                                                                   |       11 |         9
 2020-01 | CONVERTER_fasta_to_fai                                                                                                                 |      113 |        70
 2020-01 | CONVERTER_fasta_to_len                                                                                                                 |       79 |        53
 2020-01 | CONVERTER_fasta_to_tabular                                                                                                             |      231 |       106
 2020-01 | CONVERTER_fastq_to_fqtoc0                                                                                                              |     2510 |       136
 2020-01 | CONVERTER_gff_to_bed_0                                                                                                                 |      128 |        57
 2020-01 | CONVERTER_gff_to_fli_0                                                                                                                 |       33 |        24
 2020-01 | CONVERTER_gff_to_interval_index_0                                                                                                      |       32 |        24
 2020-01 | CONVERTER_gz_to_uncompressed                                                                                                           |     9516 |       623
 2020-01 | CONVERTER_interval_to_bed12_0                                                                                                          |      204 |        73
 2020-01 | CONVERTER_interval_to_bed6_0                                                                                                           |        5 |         4
 2020-01 | CONVERTER_interval_to_bed_0                                                                                                            |      538 |       149
 2020-01 | CONVERTER_interval_to_bedstrict_0                                                                                                      |      305 |       134
 2020-01 | CONVERTER_interval_to_bgzip_0                                                                                                          |       11 |         8
 2020-01 | CONVERTER_interval_to_bigwig_0                                                                                                         |       20 |        11
 2020-01 | CONVERTER_interval_to_tabix_0                                                                                                          |        9 |         5
 2020-01 | CONVERTER_len_to_linecount                                                                                                             |       62 |        51
 2020-01 | CONVERTER_maf_to_fasta_0                                                                                                               |        5 |         3
 2020-01 | CONVERTER_maf_to_interval_0                                                                                                            |        1 |         1
 2020-01 | CONVERTER_ref_to_seq_taxomony                                                                                                          |       82 |        32
 2020-01 | CONVERTER_sam_to_bigwig_0                                                                                                              |       31 |        21
 2020-01 | CONVERTER_sam_to_unsorted_bam                                                                                                          |        5 |         5
 2020-01 | CONVERTER_tar_to_directory                                                                                                             |        1 |         1
 2020-01 | CONVERTER_vcf_bgzip_to_tabix_0                                                                                                         |      158 |        82
 2020-01 | CONVERTER_vcf_to_bgzip_0                                                                                                               |       23 |        18
 2020-01 | CONVERTER_vcf_to_tabix_0                                                                                                               |       21 |        15
 2020-01 | CONVERTER_vcf_to_vcf_bgzip_0                                                                                                           |      158 |        81
 2020-01 | CONVERTER_wig_to_bigwig                                                                                                                |      101 |        16
 2020-01 | CONVERTER_wiggle_to_interval_0                                                                                                         |        2 |         1
 2020-01 | ChangeCase                                                                                                                             |       51 |        14
 2020-01 | Convert characters1                                                                                                                    |     1288 |        81
 2020-01 | Count1                                                                                                                                 |      296 |        24
 2020-01 | Cut1                                                                                                                                   |     3138 |       296
 2020-01 | Extract genomic DNA 1                                                                                                                  |      288 |        61
 2020-01 | Extract_features1                                                                                                                      |       24 |        16
 2020-01 | Filter1                                                                                                                                |     3659 |       353
 2020-01 | Grep1                                                                                                                                  |     3676 |        74
 2020-01 | Grouping1                                                                                                                              |     2047 |       346
 2020-01 | Interval2Maf1                                                                                                                          |        2 |         1
 2020-01 | Interval2Maf_pairwise1                                                                                                                 |        1 |         0
 2020-01 | Interval_Maf_Merged_Fasta2                                                                                                             |       10 |         2
 2020-01 | MAF_To_BED1                                                                                                                            |        1 |         1
 2020-01 | MAF_To_Fasta1                                                                                                                          |       30 |         4
 2020-01 | MAF_filter                                                                                                                             |        1 |         1
 2020-01 | Paste1                                                                                                                                 |      465 |        23
 2020-01 | Remove beginning1                                                                                                                      |      210 |        50
 2020-01 | Sff_extractor                                                                                                                          |        1 |         1
 2020-01 | Show beginning1                                                                                                                        |      242 |        79
 2020-01 | Show tail1                                                                                                                             |       20 |        10
 2020-01 | Summary_Statistics1                                                                                                                    |       98 |        29
 2020-01 | __BUILD_LIST__                                                                                                                         |      342 |        16
 2020-01 | __DATA_FETCH__                                                                                                                         |       77 |        26
 2020-01 | __EXPORT_HISTORY__                                                                                                                     |      267 |        92
 2020-01 | __EXTRACT_DATASET__                                                                                                                    |       39 |         7
 2020-01 | __FILTER_EMPTY_DATASETS__                                                                                                              |        1 |         1
 2020-01 | __FILTER_FAILED_DATASETS__                                                                                                             |        1 |         1
 2020-01 | __FILTER_FROM_FILE__                                                                                                                   |        7 |         1
 2020-01 | __FLATTEN__                                                                                                                            |        7 |         6
 2020-01 | __IMPORT_HISTORY__                                                                                                                     |        9 |         5
 2020-01 | __MERGE_COLLECTION__                                                                                                                   |      257 |        15
 2020-01 | __RELABEL_FROM_FILE__                                                                                                                  |       85 |         4
 2020-01 | __SET_METADATA__                                                                                                                       |     4529 |       827
 2020-01 | __SORTLIST__                                                                                                                           |        9 |         2
 2020-01 | __TAG_FROM_FILE__                                                                                                                      |        2 |         1
 2020-01 | __UNZIP_COLLECTION__                                                                                                                   |      172 |         8
 2020-01 | __ZIP_COLLECTION__                                                                                                                     |       57 |         6
 2020-01 | addValue                                                                                                                               |      539 |        35
