,month_year,avgmemory,tool_name_version
0,2022-07,192,trinity_psc/0.0.1
1,2022-07,187,trinity/2.9.1+galaxy2
2,2022-07,121,kraken/1.3.1
3,2022-07,93,ncbi_blastn_wrapper/2.10.1+galaxy0
4,2022-07,93,ncbi_blastp_wrapper/2.10.1+galaxy0
5,2022-07,92,spades/3.15.3+galaxy2
6,2022-07,92,ncbi_tblastx_wrapper/2.10.1+galaxy0
7,2022-07,92,ncbi_tblastn_wrapper/2.10.1+galaxy0
8,2022-07,92,ncbi_tblastn_wrapper/0.3.3
9,2022-07,92,ncbi_blastx_wrapper/2.10.1+galaxy0
10,2022-07,91,ncbi_blastx_wrapper/0.3.3
11,2022-07,91,ncbi_tblastn_wrapper/0.3.0
12,2022-07,47,rna_starsolo/2.7.8a
13,2022-07,45,rna_star/2.6.0b-1
14,2022-07,44,rna_star/2.7.8a
15,2022-07,39,mimodd_align/0.1.9
16,2022-07,38,rna_star/2.7.8a+galaxy0
17,2022-07,31,alevin/1.3.0+galaxy2
18,2022-07,30,bellerophon/1.0+galaxy0
19,2022-07,30,repeatmasker_wrapper/4.1.2-p1+galaxy1
20,2022-07,27,bwameth/0.2.2
21,2022-07,27,metaspades/3.15.3+galaxy2
22,2022-07,25,deeptools_bam_coverage/3.1.2.0.0
23,2022-07,25,slamdunk/0.4.3+galaxy1
24,2022-07,23,kraken2/2.1.1+galaxy1
25,2022-07,22,rnaspades/3.15.4+galaxy0
26,2022-07,22,maxbin2/2.2.7+galaxy2
27,2022-07,21,spades/3.12.0+galaxy1
28,2022-07,21,minimap2/2.17+galaxy4
29,2022-07,21,fasterq_dump/2.10.9+galaxy0
30,2022-07,21,hisat2/2.1.0+galaxy5
31,2022-07,20,unicycler/0.4.8.0
32,2022-07,20,bwameth/0.2.3+galaxy0
33,2022-07,19,td/1.0.2
34,2022-07,18,tophat2/2.1.1
35,2022-07,18,spaln/2.4.6+galaxy0
36,2022-07,17,bowtie2/2.2.6
37,2022-07,16,cuffdiff/2.2.1.6
38,2022-07,16,star_fusion/0.5.4-3+galaxy1
39,2022-07,15,tophat/1.5.0
40,2022-07,14,disco/1.2.1
41,2022-07,13,fasterq_dump/2.11.0+galaxy1
42,2022-07,13,flye/2.9+galaxy0
43,2022-07,13,samtools_sort/2.0.3
44,2022-07,12,tetyper/1.1+galaxy1
45,2022-07,12,hisat2/2.2.1+galaxy0
