,month_year,total_cpu_time,tool_name_version
1, 2021-05 , 1752188852265455890289.00000000000000,bowtie2/2.4.2+galaxy0
2, 2021-05 , 1580006591467440059035.00000000000000,bwa_mem/0.7.17.1
3, 2021-05 , 1412867968899717742456.00000000000000,rna_star/2.7.8a
4, 2021-05 , 1343113539792053541763.00000000000000,tophat2/2.1.1
5, 2021-05 ,  778673984521662497519.00000000000000,ncbi_blastp_wrapper/2.10.1+galaxy0
6, 2021-05 ,  565306073508164126276.00000000000000,unicycler/0.4.8.0
7, 2021-05 ,  473237373426691472156.00000000000000,trinity_align_and_estimate_abundance/2.9.1+galaxy1
8, 2021-05 ,  438078934616519626912.00000000000000,spades/3.12.0+galaxy1
9, 2021-05 ,  419960059633875818288.00000000000000,fastq_groomer/1.1.1
10, 2021-05 ,  400072177567181929833.00000000000000,fasterq_dump/2.10.9+galaxy0
11, 2021-05 ,  399479685811946759002.00000000000000,ncbi_blastx_wrapper/2.10.1+galaxy0
12, 2021-05 ,  365139519631596065300.00000000000000,hisat2/2.1.0+galaxy7
13, 2021-05 ,  329384876782352978094.00000000000000,freebayes/1.3.1
14, 2021-05 ,  314986175218725679108.00000000000000,fastq_dump/2.10.9+galaxy0
15, 2021-05 ,  305924718033206180431.00000000000000,bwa/0.7.17.4
16, 2021-05 ,  292934419862577486276.00000000000000,trinity/2.9.1+galaxy1
17, 2021-05 ,  282097965773189723172.00000000000000,deeptools_bigwig_compare/3.3.2.0.0
18, 2021-05 ,  181062618093199243746.00000000000000,maxquant/1.6.10.43+galaxy3
19, 2021-05 ,  157198256005654682140.00000000000000,cuffdiff/2.2.1.6
20, 2021-05 ,  152694612475811852403.00000000000000,busco/5.0.0+galaxy0
21, 2021-05 ,  143276617677090689101.00000000000000,lofreq_call/2.1.5+galaxy1
22, 2021-05 ,  118676912159663709197.00000000000000,trim_galore/0.6.3
23, 2021-05 ,  117570240269339769216.00000000000000,flye/2.6
24, 2021-05 ,  115008216216270225216.00000000000000,tophat2/0.9
25, 2021-05 ,  113603110418773978857.00000000000000,deeptools_multi_bam_summary/3.3.2.0.0
26, 2021-05 ,  110622361989616658740.00000000000000,ncbi_blastn_wrapper/2.10.1+galaxy0
27, 2021-05 ,  108103841307676707907.00000000000000,htseq_count/0.9.1
28, 2021-05 ,  107663345599972134003.00000000000000,prokka/1.14.5+galaxy0
29, 2021-05 ,  104110889975630490327.00000000000000,pileup_parser/1.0.2
30, 2021-05 ,  100554430228549370732.00000000000000,fastq_groomer/1.1.5
31, 2021-05 ,   87102923384750438661.00000000000000,cufflinks/2.2.1.3
32, 2021-05 ,   81520800537902405257.00000000000000,sam_pileup/1.1.3
33, 2021-05 ,   70605323405334354082.00000000000000,metaspades/3.9.0
34, 2021-05 ,   62332545087060648385.00000000000000,rseqc_geneBody_coverage/2.6.4.3
35, 2021-05 ,   60317380068846454796.00000000000000,rbc_mafft/7.221.3
36, 2021-05 ,   57406342191365829558.00000000000000,spaln/2.4.03+galaxy0
37, 2021-05 ,   47741354835044239918.00000000000000,clustalw/2.1
38, 2021-05 ,   45681688456197683336.00000000000000,bwa_mem/0.7.15.1
39, 2021-05 ,   42875851539956912665.00000000000000,disco/1.2.0
40, 2021-05 ,   38805466570663130153.00000000000000,iqtree/1.5.5.3
41, 2021-05 ,   36757405010868485648.00000000000000,rnaspades/3.9.0.2
42, 2021-05 ,   36499519369587456451.00000000000000,roary/3.13.0+galaxy1
43, 2021-05 ,   34484200899023117979.00000000000000,minimap2/2.17+galaxy4
44, 2021-05 ,   32907741220043721375.00000000000000,fastq_quality_trimmer/1.1.5
45, 2021-05 ,   31266310379238114129.00000000000000,gops_join_1/1.0.0
46, 2021-05 ,   31081646185272750967.00000000000000,megablast_wrapper/1.2.0
47, 2021-05 ,   30878386202164810811.00000000000000,vegan_rarefaction/2.4-3
48, 2021-05 ,   26289210464884824501.00000000000000,volcanoplot/0.0.3
49, 2021-05 ,   26047199681574266558.00000000000000,deeptools_compute_matrix/3.3.2.0.0
50, 2021-05 ,   25950724602283022873.00000000000000,repeatmasker_wrapper/4.0.9
51, 2021-05 ,   25890792329257774898.00000000000000,megahit/1.1.3.5
52, 2021-05 ,   25376518476231963886.00000000000000,stringtie/2.1.1
53, 2021-05 ,   24512458950416838484.00000000000000,velvetoptimiser/2.2.6
54, 2021-05 ,   23661383899956202449.00000000000000,fastq_paired_end_deinterlacer/1.1.5
55, 2021-05 ,   21796145115762307482.00000000000000,dexseq_count/1.28.1.0
56, 2021-05 ,   21549113795210315839.00000000000000,mimodd_varcall/0.1.9
57, 2021-05 ,   19369340789445248635.00000000000000,lofreq_call/2.1.5+galaxy0
58, 2021-05 ,   19220410669036529575.00000000000000,trimmomatic/0.38.0
59, 2021-05 ,   19208061288598604229.00000000000000,trinity/2.9.1
60, 2021-05 ,   19088275047597386206.00000000000000,mothur_cluster_split/1.39.5.0
61, 2021-05 ,   17797397784616397080.00000000000000,quast/5.0.2+galaxy1
62, 2021-05 ,   17693506446192294107.00000000000000,bowtie2/2.3.4.3+galaxy0
63, 2021-05 ,   15732338604453229138.00000000000000,deeptools_bam_coverage/3.3.2.0.0
64, 2021-05 ,   15537850142739390473.00000000000000,shovill/1.1.0+galaxy0
65, 2021-05 ,   15369164017976479426.00000000000000,samtools_view/1.9+galaxy3
66, 2021-05 ,   15038310872141187820.00000000000000,fastq_paired_end_splitter/1.1.5
67, 2021-05 ,   14616594455955075285.00000000000000,naive_variant_caller/0.0.4
68, 2021-05 ,   13473140394646810797.00000000000000,maker/2.31.11
