,month_year,totalmemory,tool_name_version
1, 2020-01 ,12237942925000.0,upload1/upload1
2, 2020-01 ,4682560777992.0,unicycler/0.4.8.0
3, 2020-01 ,4345103489696.0,rna_star/2.6.0b-1
4, 2020-01 ,2718883810716.0,fastqc/0.72+galaxy1
5, 2020-01 ,1486879617280.0,trinity_psc/0.0.1
6, 2020-01 ,1213196615984.0,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
7, 2020-01 ,1152431335972.0,featurecounts/1.6.4+galaxy1
8, 2020-01 ,855722775052.0,trimmomatic/0.38.0
9, 2020-01 ,811626940052.0,hisat2/2.1.0+galaxy5
10, 2020-01 ,691748787200.0,ebi_sra_main/ebi_sra_main
11, 2020-01 ,584841137992.0,bowtie2/2.3.4.3+galaxy0
12, 2020-01 ,577072444876.0,__SET_METADATA__/__SET_METADATA__
13, 2020-01 ,477672835360.0,bwa_mem/0.7.17.1
14, 2020-01 ,450533032744.0,Grep1/Grep1
15, 2020-01 ,443415191016.0,Filter1/Filter1
16, 2020-01 ,424302467340.0,fasta2tab/1.1.0
17, 2020-01 ,419820864712.0,ucsc_table_direct1/ucsc_table_direct1
18, 2020-01 ,419293615128.0,fastq_groomer/1.1.1
19, 2020-01 ,404267060492.0,mothur_make_contigs/1.39.5.0
20, 2020-01 ,394117544964.0,Cut1/Cut1
21, 2020-01 ,378827366092.0,mothur_screen_seqs/1.39.5.0
22, 2020-01 ,370523216892.0,htseq_count/0.9.1
23, 2020-01 ,368546038640.0,trim_galore/0.6.3
24, 2020-01 ,345114931520.0,deeptools_bam_coverage/3.3.0.0.0
25, 2020-01 ,325179927340.0,deseq2/2.11.40.6
26, 2020-01 ,314107729104.0,mothur_split_abund/1.39.5.0
27, 2020-01 ,305712893204.0,stringtie/1.3.6
28, 2020-01 ,298817549768.0,cutadapt/1.16.6
29, 2020-01 ,294335945748.0,fastq_to_fasta_python/1.1.1
30, 2020-01 ,278123083552.0,tab2fasta/1.1.0
31, 2020-01 ,277991271156.0,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
32, 2020-01 ,275355033916.0,tp_cut_tool/1.1.0
33, 2020-01 ,258614924052.0,fastq_dump/2.10.4
34, 2020-01 ,256374121652.0,Grouping1/Grouping1
35, 2020-01 ,246751854172.0,join1/join1
36, 2020-01 ,241874814388.0,mothur_classify_seqs/1.39.5.0
37, 2020-01 ,224212021400.0,Add_a_column1/1.2.0
38, 2020-01 ,209712713484.0,deeptools_plot_heatmap/3.3.0.0.1
39, 2020-01 ,207867762988.0,deeptools_compute_matrix/3.3.0.0.0
