id,history,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memtotal,processor_count,runtime_seconds
0dc171f666a88787,b66247e907208745,ok,toolshed.g2.bx.psu.edu/repos/lldelisle/revertr2orientationinbam/revertR2orientationInBam/0.0.2,28c01b9d4cac3121,,220672872507.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,222.0000000
d48e0e95053e99bf,b66247e907208745,ok,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter/2.5.2+galaxy1,28c01b9d4cac3121,,342231849873.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,342.0000000
5f092ba11b1b746a,b66247e907208745,ok,param_value_from_file,28c01b9d4cac3121,,3733337394.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
f15f0d272272fd93,b66247e907208745,ok,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.11+galaxy1,28c01b9d4cac3121,,9185101833.0000000,12240.0000000,1.0000000,12240654336.0000000,264126312.0000000,64.0000000,10.0000000
a11858c9776f3413,b66247e907208745,ok,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool/1.1.2,28c01b9d4cac3121,,84219939.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,0E-7
657d8dd5d3a5411e,b66247e907208745,ok,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.8a+galaxy1,28c01b9d4cac3121,,2689423479415.0000000,53687.0000000,10.0000000,53687091200.0000000,264126312.0000000,64.0000000,638.0000000
286fe64d5dc8e2da,b66247e907208745,ok,toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt/4.0+galaxy1,28c01b9d4cac3121,,776591620465.0000000,20401.0000000,5.0000000,20401094656.0000000,264126312.0000000,64.0000000,177.0000000
2f4d95213f5eaa0b,b66247e907208745,ok,toolshed.g2.bx.psu.edu/repos/iuc/compose_text_param/compose_text_param/0.1.1,28c01b9d4cac3121,,3698163655.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
768c3f32107c6f45,b66247e907208745,ok,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,28c01b9d4cac3121,,4031090785.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
e7484cccbcb3d66a,b66247e907208745,ok,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,28c01b9d4cac3121,,3899832264.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
390d83702e315dac,b66247e907208745,ok,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,28c01b9d4cac3121,,3893236132.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
f8c4991d742821e6,b66247e907208745,error,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,28c01b9d4cac3121,,,,,,,,
d51e23b40238bd29,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.3,28c01b9d4cac3121,,7534005458487.0000000,68719.0000000,16.0000000,68719476736.0000000,264126312.0000000,64.0000000,1292.0000000
3e93400d3db67fe4,3f4e8d698a562690,ok,wig_to_bigWig,28c01b9d4cac3121,,13941428733.0000000,10737.0000000,1.0000000,10737418240.0000000,264126312.0000000,64.0000000,14.0000000
132dccffc300fe7d,3f4e8d698a562690,ok,wig_to_bigWig,28c01b9d4cac3121,,11944129340.0000000,10737.0000000,1.0000000,10737418240.0000000,264126312.0000000,64.0000000,12.0000000
c8e19c603c0a16be,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.30.0,28c01b9d4cac3121,,91841831252.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,92.0000000
c16980679241030a,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.30.0,28c01b9d4cac3121,,88557405066.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,89.0000000
8fafecea01c72265,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/lldelisle/revertr2orientationinbam/revertR2orientationInBam/0.0.2,28c01b9d4cac3121,,220066982018.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,221.0000000
cc037c28e4c419ac,3f4e8d698a562690,ok,wig_to_bigWig,28c01b9d4cac3121,,23779703174.0000000,10737.0000000,1.0000000,10737418240.0000000,264126312.0000000,64.0000000,25.0000000
c83c2ea58762ea5c,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.30.0,28c01b9d4cac3121,,120793433639.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,122.0000000
7364d65f27d1127a,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter/2.5.2+galaxy1,28c01b9d4cac3121,,344831954606.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,345.0000000
93578b5e81fc7621,3f4e8d698a562690,ok,param_value_from_file,28c01b9d4cac3121,,3757455955.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
cb4325d4ba2d5eda,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.11+galaxy1,28c01b9d4cac3121,,8992104532.0000000,12240.0000000,1.0000000,12240654336.0000000,264126312.0000000,64.0000000,10.0000000
ac549c5bf1de811c,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool/1.1.2,28c01b9d4cac3121,,323803882.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,1.0000000
25150118b24a720e,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool/1.1.2,28c01b9d4cac3121,,90645336.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,0E-7
5e518747f77e9512,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.8a+galaxy1,28c01b9d4cac3121,,2686421069294.0000000,53687.0000000,10.0000000,53687091200.0000000,264126312.0000000,64.0000000,657.0000000
9b87a1a892152be1,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt/4.0+galaxy1,28c01b9d4cac3121,,782508272092.0000000,20401.0000000,5.0000000,20401094656.0000000,264126312.0000000,64.0000000,177.0000000
057aa2a22d8d3822,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,28c01b9d4cac3121,,3698883085.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
9728c9febc846e39,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,28c01b9d4cac3121,,3816919848.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
1299c106bbbe0b52,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/iuc/compose_text_param/compose_text_param/0.1.1,28c01b9d4cac3121,,3677383354.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
1e65a73c731b8b93,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,28c01b9d4cac3121,,3920765562.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
5552b913534e130e,3f4e8d698a562690,ok,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,28c01b9d4cac3121,,3826704029.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,4.0000000
a1fb2448f01a5d65,1e465419cecdc26a,ok,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.3,28c01b9d4cac3121,,7309238481751.0000000,34359.0000000,8.0000000,34359738368.0000000,264126312.0000000,64.0000000,1603.0000000
18ac32c10c49e538,1e465419cecdc26a,ok,wig_to_bigWig,28c01b9d4cac3121,,12359295874.0000000,10737.0000000,1.0000000,10737418240.0000000,264126312.0000000,64.0000000,12.0000000
b3d4f11ff2768b8d,1e465419cecdc26a,ok,wig_to_bigWig,28c01b9d4cac3121,,11826310903.0000000,10737.0000000,1.0000000,10737418240.0000000,264126312.0000000,64.0000000,12.0000000
942582840f9900a0,1e465419cecdc26a,ok,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.30.0,28c01b9d4cac3121,,91675194920.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,92.0000000
cdd5005077221334,1e465419cecdc26a,ok,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.30.0,28c01b9d4cac3121,,89708494449.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,90.0000000
b2c4c716b6254b26,1e465419cecdc26a,ok,toolshed.g2.bx.psu.edu/repos/lldelisle/revertr2orientationinbam/revertR2orientationInBam/0.0.2,28c01b9d4cac3121,,220210693339.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,221.0000000
cd0b0696eaeebedb,1e465419cecdc26a,ok,wig_to_bigWig,28c01b9d4cac3121,,23915422932.0000000,10737.0000000,1.0000000,10737418240.0000000,264126312.0000000,64.0000000,25.0000000
ab6bae9af8e95ce8,1e465419cecdc26a,ok,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.30.0,28c01b9d4cac3121,,120604237438.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,121.0000000
a88efd6ce48056f7,1e465419cecdc26a,ok,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter/2.5.2+galaxy1,28c01b9d4cac3121,,341227370065.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,342.0000000
5c6ba3683825c605,1e465419cecdc26a,ok,param_value_from_file,28c01b9d4cac3121,,3513377508.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,3.0000000
631c5c439a91908b,1e465419cecdc26a,ok,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.11+galaxy1,28c01b9d4cac3121,,8764374535.0000000,12240.0000000,1.0000000,12240654336.0000000,264126312.0000000,64.0000000,10.0000000
2d6322f161843a53,1e465419cecdc26a,ok,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool/1.1.2,28c01b9d4cac3121,,318114406.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,1.0000000
5c58e95ee96eb33f,1e465419cecdc26a,ok,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool/1.1.2,28c01b9d4cac3121,,91047415.0000000,4080.0000000,1.0000000,4080218112.0000000,264126312.0000000,64.0000000,0E-7
7b9806d43b6f237a,1e465419cecdc26a,ok,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.8a+galaxy1,28c01b9d4cac3121,,2661243546642.0000000,53687.0000000,10.0000000,53687091200.0000000,264126312.0000000,64.0000000,646.0000000
