id,history,state,tool_id,invocation_id,workflow_id,cpuacct.usage,galaxy_memory_mb,galaxy_slots,memory.limit_in_bytes,memory.max_usage_in_bytes,memory.soft_limit_in_bytes,memtotal,processor_count,runtime_seconds
c4675f9bb343c6f2,82916be242fb7c02,deleted,toolshed.g2.bx.psu.edu/repos/iuc/multiqc/multiqc/1.11+galaxy1,b2e63b07c0456517,,,,,,,,,,
8e6879ed0df80dd6,82916be242fb7c02,paused,param_value_from_file,b2e63b07c0456517,,,,,,,,,,
4d19597e632e8d34,82916be242fb7c02,paused,toolshed.g2.bx.psu.edu/repos/lldelisle/revertr2orientationinbam/revertR2orientationInBam/0.0.2,b2e63b07c0456517,,,,,,,,,,
85185ee7c1ea0841,82916be242fb7c02,error,toolshed.g2.bx.psu.edu/repos/lparsons/cutadapt/cutadapt/4.0+galaxy1,b2e63b07c0456517,,179103148.0000000,20401.0000000,5.0000000,20401094656.0000000,12484608.0000000,9223372036854771712.0000000,264126312.0000000,64.0000000,1.0000000
476aacbc68216cd2,82916be242fb7c02,paused,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool/1.1.2,b2e63b07c0456517,,,,,,,,,,
6cbdb6aefe379645,82916be242fb7c02,paused,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_filter/bamFilter/2.5.2+galaxy1,b2e63b07c0456517,,,,,,,,,,
d6473514151ce097,82916be242fb7c02,paused,toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.8a+galaxy1,b2e63b07c0456517,,,,,,,,,,
1b011f0f4786673c,82916be242fb7c02,ok,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,b2e63b07c0456517,,4495076972.0000000,4080.0000000,1.0000000,4080218112.0000000,165834752.0000000,9223372036854771712.0000000,264126312.0000000,64.0000000,4.0000000
fdb02c53ffbd9191,82916be242fb7c02,ok,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,b2e63b07c0456517,,3767849699.0000000,4080.0000000,1.0000000,4080218112.0000000,165400576.0000000,9223372036854771712.0000000,264126312.0000000,64.0000000,3.0000000
f1a33ad16441b4c2,82916be242fb7c02,ok,toolshed.g2.bx.psu.edu/repos/iuc/map_param_value/map_param_value/0.1.1,b2e63b07c0456517,,4484154914.0000000,4080.0000000,1.0000000,4080218112.0000000,165691392.0000000,9223372036854771712.0000000,264126312.0000000,64.0000000,4.0000000
